SMILES,ID
C[C@@H](NC(=O)c1ccno1)C1CCN(C(=O)c2ccns2)CC1,pyrazine2isoxazole_0000000001
c1cnoc1,pyrazine2isoxazole_0000000002
C[C@@H](NC(=O)c1cnoc1)C1CCN(C(=O)c2ccns2)CC1,pyrazine2isoxazole_0000000003
C[C@@H](NC(=O)c1ccon1)C1CCN(C(=O)c2ccns2)CC1,pyrazine2isoxazole_0000000004
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2oncc2O)C1,pyrazine2isoxazole_0000000005
Oc1ccon1,pyrazine2isoxazole_0000000006
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2ccon2)C1,pyrazine2isoxazole_0000000007
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2cnoc2O)C1,pyrazine2isoxazole_0000000008
Nc1ccno1,pyrazine2isoxazole_0000000009
Nc1nocc1C(=O)NCC1(NC(=O)CC2CCCOCC2)CC1,pyrazine2isoxazole_0000000010
Nc1conc1C(=O)NCC1(NC(=O)CC2CCCOCC2)CC1,pyrazine2isoxazole_0000000011
O=C(CC1CCCOCC1)NC1(CNC(=O)c2ccno2)CC1,pyrazine2isoxazole_0000000012
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1oncc1O,pyrazine2isoxazole_0000000013
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1cnoc1O,pyrazine2isoxazole_0000000014
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1ccon1,pyrazine2isoxazole_0000000015
Cc1nocc1NC(=O)c1cnc2n(c1=O)CCS2,pyrazine2isoxazole_0000000016
Cc1ccno1,pyrazine2isoxazole_0000000017
O=C(Nc1ccno1)c1cnc2n(c1=O)CCS2,pyrazine2isoxazole_0000000018
Cc1conc1NC(=O)c1cnc2n(c1=O)CCS2,pyrazine2isoxazole_0000000019
O=C(NCC12CCC(F)(CO1)C2)Nc1oncc1O,pyrazine2isoxazole_0000000020
O=C(NCC12CCC(F)(CO1)C2)Nc1cnoc1O,pyrazine2isoxazole_0000000021
O=C(NCC12CCC(F)(CO1)C2)Nc1ccon1,pyrazine2isoxazole_0000000022
c1ncn(-c2cnoc2)n1,pyrazine2isoxazole_0000000023
CC(C)(CNc1cnoc1)CN1CCCC1,pyrazine2isoxazole_0000000024
CC(C)(CNc1cc(-n2cncn2)on1)CN1CCCC1,pyrazine2isoxazole_0000000025
CC(C)(CNc1cc(-n2cncn2)no1)CN1CCCC1,pyrazine2isoxazole_0000000026
CC1CC(CN)CC(C)N1C(=O)c1cccc2cnoc12,pyrazine2isoxazole_0000000027
CC1CC(CN)CC(C)N1C(=O)c1cccc2oncc12,pyrazine2isoxazole_0000000028
COCCN1CCCC12CN(C(=O)Nc1ncc3cnoc3n1)C2,pyrazine2isoxazole_0000000029
COCCN1CCCC12CN(C(=O)Nc1ncc3oncc3n1)C2,pyrazine2isoxazole_0000000030
CC(C)Oc1ccno1,pyrazine2isoxazole_0000000031
CCCCC(=O)NC1CCN(C(=O)c2nocc2OC(C)C)CC1,pyrazine2isoxazole_0000000032
CCCCC(=O)NC1CCN(C(=O)c2conc2OC(C)C)CC1,pyrazine2isoxazole_0000000033
CCCCC(=O)NC1CCN(C(=O)c2ccno2)CC1,pyrazine2isoxazole_0000000034
CC1(C)C[C@@H]1C(=O)NCC1CCCN(C(=O)c2ccno2)C1,pyrazine2isoxazole_0000000035
Cc1nocc1C(=O)N1CCCC(CNC(=O)[C@H]2CC2(C)C)C1,pyrazine2isoxazole_0000000036
Cc1conc1C(=O)N1CCCC(CNC(=O)[C@H]2CC2(C)C)C1,pyrazine2isoxazole_0000000037
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2ccno2)CCCC1,pyrazine2isoxazole_0000000038
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2ccon2)CCCC1,pyrazine2isoxazole_0000000039
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2cnoc2)CCCC1,pyrazine2isoxazole_0000000040
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3cnoc3)C2)C1,pyrazine2isoxazole_0000000041
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3cc(C)no3)C2)C1,pyrazine2isoxazole_0000000042
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3cc(C)on3)C2)C1,pyrazine2isoxazole_0000000043
Cc1cnoc1,pyrazine2isoxazole_0000000044
CC1(C)CCC(OC(=O)c2cc(-n3ccnc3)no2)C1,pyrazine2isoxazole_0000000045
CC1(C)CCC(OC(=O)c2cc(-n3ccnc3)on2)C1,pyrazine2isoxazole_0000000046
c1cn(-c2cnoc2)cn1,pyrazine2isoxazole_0000000047
CC1(C)CCC(OC(=O)c2cnoc2)C1,pyrazine2isoxazole_0000000048
COC(=O)[C@@H]1CCC[C@@H]1NC(=O)c1cnc(-c2cnoc2)s1,pyrazine2isoxazole_0000000049
COC(=O)[C@@H]1CCC[C@@H]1NC(=O)c1cnc(-c2ccon2)s1,pyrazine2isoxazole_0000000050
COC(=O)[C@@H]1CCC[C@@H]1NC(=O)c1cnc(-c2ccno2)s1,pyrazine2isoxazole_0000000051
COC(=O)c1ccon1,pyrazine2isoxazole_0000000052
COCCn1cc(NC(=O)c2ccon2)ccc1=O,pyrazine2isoxazole_0000000053
COCCn1cc(NC(=O)c2cnoc2C(=O)OC)ccc1=O,pyrazine2isoxazole_0000000054
COCCn1cc(NC(=O)c2oncc2C(=O)OC)ccc1=O,pyrazine2isoxazole_0000000055
Cc1oncc1C(=O)NCC1CCCN1C(=O)[C@H]1C[C@@H](F)C1,pyrazine2isoxazole_0000000056
Cc1cnoc1C(=O)NCC1CCCN1C(=O)[C@H]1C[C@@H](F)C1,pyrazine2isoxazole_0000000057
O=C(NCC1CCCN1C(=O)[C@H]1C[C@@H](F)C1)c1ccon1,pyrazine2isoxazole_0000000058
Cc1ccon1,pyrazine2isoxazole_0000000059
COC(=O)c1onc(C(F)(F)F)c1NCc1ncc(F)cc1F,pyrazine2isoxazole_0000000060
COC(=O)c1cc(C(F)(F)F)on1,pyrazine2isoxazole_0000000061
COC(=O)c1cnoc1NCc1ncc(F)cc1F,pyrazine2isoxazole_0000000062
Fc1cnc(CNc2nocc2C(F)(F)F)c(F)c1,pyrazine2isoxazole_0000000063
CC(Nc1nccc(C#N)c1Br)c1ccno1,pyrazine2isoxazole_0000000064
CC(Nc1nccc(C#N)c1Br)c1ccon1,pyrazine2isoxazole_0000000065
CC(Nc1nccc(C#N)c1Br)c1cnoc1,pyrazine2isoxazole_0000000066
Nc1ccon1,pyrazine2isoxazole_0000000067
CC[C@@H]1[C@@H](C(=O)N(C)[C@@H](C)CNC(=O)c2ccon2)CCN1C,pyrazine2isoxazole_0000000068
CC[C@@H]1[C@@H](C(=O)N(C)[C@@H](C)CNC(=O)c2oncc2N)CCN1C,pyrazine2isoxazole_0000000069
CC[C@@H]1[C@@H](C(=O)N(C)[C@@H](C)CNC(=O)c2cnoc2N)CCN1C,pyrazine2isoxazole_0000000070
Cc1nocc1CNC(=O)c1cnn(CC(C)C)c1C1CC1,pyrazine2isoxazole_0000000071
Cc1conc1CNC(=O)c1cnn(CC(C)C)c1C1CC1,pyrazine2isoxazole_0000000072
CC(C)Cn1ncc(C(=O)NCc2ccno2)c1C1CC1,pyrazine2isoxazole_0000000073
COC(=O)c1cc(N2CCC3(CC2)COC(C)CN3)no1,pyrazine2isoxazole_0000000074
COC(=O)c1cc(N2CCC3(CC2)COC(C)CN3)on1,pyrazine2isoxazole_0000000075
COC(=O)c1cnoc1,pyrazine2isoxazole_0000000076
CC1CNC2(CCN(c3cnoc3)CC2)CO1,pyrazine2isoxazole_0000000077
CC(C)CCc1ncc2c(n1)CCN(c1ccon1)C2,pyrazine2isoxazole_0000000078
CC(C)CCc1ncc2c(n1)CCN(c1oncc1N)C2,pyrazine2isoxazole_0000000079
CC(C)CCc1ncc2c(n1)CCN(c1cnoc1N)C2,pyrazine2isoxazole_0000000080
C[C@@H]1CCN(C(=O)c2ccno2)C[C@@]1(C)O,pyrazine2isoxazole_0000000081
CCOc1ccno1,pyrazine2isoxazole_0000000082
CCOc1conc1C(=O)N1CC[C@@H](C)[C@](C)(O)C1,pyrazine2isoxazole_0000000083
CCOc1nocc1C(=O)N1CC[C@@H](C)[C@](C)(O)C1,pyrazine2isoxazole_0000000084
c1ccc2oncc2c1,pyrazine2isoxazole_0000000085
CC(C)(C#N)C(=O)NCC1(NC(=O)c2noc3ccccc23)CC1,pyrazine2isoxazole_0000000086
CCOc1nocc1C(=O)N1CCC(C2(O)CCOC2)CC1,pyrazine2isoxazole_0000000087
O=C(c1ccno1)N1CCC(C2(O)CCOC2)CC1,pyrazine2isoxazole_0000000088
CCOc1conc1C(=O)N1CCC(C2(O)CCOC2)CC1,pyrazine2isoxazole_0000000089
CC(C(=O)N[C@H]1CC[C@H]1CNC(=O)c1cnoc1)c1ncco1,pyrazine2isoxazole_0000000090
CC(C(=O)N[C@H]1CC[C@H]1CNC(=O)c1ccno1)c1ncco1,pyrazine2isoxazole_0000000091
CC(C(=O)N[C@H]1CC[C@H]1CNC(=O)c1ccon1)c1ncco1,pyrazine2isoxazole_0000000092
O=C(Nc1cccc2cnoc12)N1C[C@@H](O)[C@@H](O)CC2(CC2)C1,pyrazine2isoxazole_0000000093
O=C(Nc1cccc2oncc12)N1C[C@@H](O)[C@@H](O)CC2(CC2)C1,pyrazine2isoxazole_0000000094
COc1cc(-c2nocc2C(=O)N2CCC(N)C2)cc(C)n1,pyrazine2isoxazole_0000000095
COc1cc(-c2ccno2)cc(C)n1,pyrazine2isoxazole_0000000096
COc1cc(-c2conc2C(=O)N2CCC(N)C2)cc(C)n1,pyrazine2isoxazole_0000000097
NC1CCN(C(=O)c2ccno2)C1,pyrazine2isoxazole_0000000098
Cc1oncc1NC(=O)N1CCN(C2CCOCC2)C(=O)C1,pyrazine2isoxazole_0000000099
Cc1cnoc1NC(=O)N1CCN(C2CCOCC2)C(=O)C1,pyrazine2isoxazole_0000000100
O=C(Nc1ccon1)N1CCN(C2CCOCC2)C(=O)C1,pyrazine2isoxazole_0000000101
O=C(NC1CCCN(c2cnoc2)C1)c1ncccc1C(F)F,pyrazine2isoxazole_0000000102
O=C(NC1CCCN(c2ccon2)C1)c1ncccc1C(F)F,pyrazine2isoxazole_0000000103
O=C(NC1CCCN(c2ccno2)C1)c1ncccc1C(F)F,pyrazine2isoxazole_0000000104
O=C(CCC1CC1)NC1CCCN(C(=O)c2ccon2)CC1,pyrazine2isoxazole_0000000105
Cc1cnoc1C(=O)N1CCCC(NC(=O)CCC2CC2)CC1,pyrazine2isoxazole_0000000106
Cc1oncc1C(=O)N1CCCC(NC(=O)CCC2CC2)CC1,pyrazine2isoxazole_0000000107
Nc1cnoc1,pyrazine2isoxazole_0000000108
CC1Cc2cc([C@H](C)NC(=O)c3cnoc3)ccc2O1,pyrazine2isoxazole_0000000109
CC1Cc2cc([C@H](C)NC(=O)c3cc(N)no3)ccc2O1,pyrazine2isoxazole_0000000110
CC1Cc2cc([C@H](C)NC(=O)c3cc(N)on3)ccc2O1,pyrazine2isoxazole_0000000111
CCC(C)(C#N)C(=O)N1C[C@@H]2C[C@H]1[C@@H]2NC(=O)c1cnoc1,pyrazine2isoxazole_0000000112
CCC(C)(C#N)C(=O)N1C[C@@H]2C[C@H]1[C@@H]2NC(=O)c1ccon1,pyrazine2isoxazole_0000000113
CCC(C)(C#N)C(=O)N1C[C@@H]2C[C@H]1[C@@H]2NC(=O)c1ccno1,pyrazine2isoxazole_0000000114
COCC1CCN(c2conc2OC(F)(F)F)CC1,pyrazine2isoxazole_0000000115
COCC1CCN(c2nocc2OC(F)(F)F)CC1,pyrazine2isoxazole_0000000116
FC(F)(F)Oc1ccno1,pyrazine2isoxazole_0000000117
COCC1CCN(c2ccno2)CC1,pyrazine2isoxazole_0000000118
COC(=O)[C@H]1C[C@@H](C(=O)Nc2c(Br)noc2C)C1,pyrazine2isoxazole_0000000119
COC(=O)[C@H]1C[C@@H](C(=O)Nc2nocc2Br)C1,pyrazine2isoxazole_0000000120
Cc1cc(Br)on1,pyrazine2isoxazole_0000000121
COC(=O)[C@H]1C[C@@H](C(=O)Nc2oncc2C)C1,pyrazine2isoxazole_0000000122
COCc1nn(C)c(Cl)c1C(=O)N1CCC(c2cnoc2)CC1,pyrazine2isoxazole_0000000123
COCc1nn(C)c(Cl)c1C(=O)N1CCC(c2ccno2)CC1,pyrazine2isoxazole_0000000124
COCc1nn(C)c(Cl)c1C(=O)N1CCC(c2ccon2)CC1,pyrazine2isoxazole_0000000125
CC[C@H](NC(=O)NCc1ccon1)C(F)(F)F,pyrazine2isoxazole_0000000126
CCc1ccon1,pyrazine2isoxazole_0000000127
CCc1cnoc1CNC(=O)N[C@@H](CC)C(F)(F)F,pyrazine2isoxazole_0000000128
CCc1oncc1CNC(=O)N[C@@H](CC)C(F)(F)F,pyrazine2isoxazole_0000000129
Cc1conc1CN(C)CC(C)(O)c1ccc(S(C)(=O)=O)cc1,pyrazine2isoxazole_0000000130
Cc1nocc1CN(C)CC(C)(O)c1ccc(S(C)(=O)=O)cc1,pyrazine2isoxazole_0000000131
CN(Cc1ccno1)CC(C)(O)c1ccc(S(C)(=O)=O)cc1,pyrazine2isoxazole_0000000132
CCN(CC(=O)O)C1CC(NC(=O)c2ccc3cnoc3n2)C1,pyrazine2isoxazole_0000000133
CCN(CC(=O)O)C1CC(NC(=O)c2ccc3oncc3n2)C1,pyrazine2isoxazole_0000000134
Cc1cc(N)on1,pyrazine2isoxazole_0000000135
