SMILES,ID
C[C@@H](NC(=O)c1cccnn1)C1CCN(C(=O)c2ccns2)CC1,pyrazine2pyridazine_0000000001
C[C@@H](NC(=O)c1ccnnc1)C1CCN(C(=O)c2ccns2)CC1,pyrazine2pyridazine_0000000002
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2nnccc2O)C1,pyrazine2pyridazine_0000000003
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2ccnnc2O)C1,pyrazine2pyridazine_0000000004
Nc1cc(C(=O)NCC2(NC(=O)CC3CCCOCC3)CC2)cnn1,pyrazine2pyridazine_0000000005
Nc1cnnc(C(=O)NCC2(NC(=O)CC3CCCOCC3)CC2)c1,pyrazine2pyridazine_0000000006
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1nnccc1O,pyrazine2pyridazine_0000000007
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1ccnnc1O,pyrazine2pyridazine_0000000008
Cc1cnnc(NC(=O)c2cnc3n(c2=O)CCS3)c1,pyrazine2pyridazine_0000000009
Cc1cc(NC(=O)c2cnc3n(c2=O)CCS3)cnn1,pyrazine2pyridazine_0000000010
O=C(NCC12CCC(F)(CO1)C2)Nc1nnccc1O,pyrazine2pyridazine_0000000011
O=C(NCC12CCC(F)(CO1)C2)Nc1ccnnc1O,pyrazine2pyridazine_0000000012
CC(C)(CNc1cnncc1-n1cncn1)CN1CCCC1,pyrazine2pyridazine_0000000013
CC(C)(CNc1ccc(-n2cncn2)nn1)CN1CCCC1,pyrazine2pyridazine_0000000014
CC1CC(CN)CC(C)N1C(=O)c1cccc2ccnnc12,pyrazine2pyridazine_0000000015
CC1CC(CN)CC(C)N1C(=O)c1cccc2nnccc12,pyrazine2pyridazine_0000000016
COCCN1CCCC12CN(C(=O)Nc1ncc3nnccc3n1)C2,pyrazine2pyridazine_0000000017
COCCN1CCCC12CN(C(=O)Nc1ncc3ccnnc3n1)C2,pyrazine2pyridazine_0000000018
CCCCC(=O)NC1CCN(C(=O)c2cnnc(OC(C)C)c2)CC1,pyrazine2pyridazine_0000000019
CCCCC(=O)NC1CCN(C(=O)c2cc(OC(C)C)cnn2)CC1,pyrazine2pyridazine_0000000020
Cc1cc(C(=O)N2CCCC(CNC(=O)[C@H]3CC3(C)C)C2)cnn1,pyrazine2pyridazine_0000000021
Cc1cnnc(C(=O)N2CCCC(CNC(=O)[C@H]3CC3(C)C)C2)c1,pyrazine2pyridazine_0000000022
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2ccnnc2)CCCC1,pyrazine2pyridazine_0000000023
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2cccnn2)CCCC1,pyrazine2pyridazine_0000000024
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3cnncc3C)C2)C1,pyrazine2pyridazine_0000000025
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3ccc(C)nn3)C2)C1,pyrazine2pyridazine_0000000026
CC1(C)CCC(OC(=O)c2ccc(-n3ccnc3)nn2)C1,pyrazine2pyridazine_0000000027
CC1(C)CCC(OC(=O)c2cnncc2-n2ccnc2)C1,pyrazine2pyridazine_0000000028
COC(=O)[C@@H]1CCC[C@@H]1NC(=O)c1cnc(-c2cccnn2)s1,pyrazine2pyridazine_0000000029
COC(=O)[C@@H]1CCC[C@@H]1NC(=O)c1cnc(-c2ccnnc2)s1,pyrazine2pyridazine_0000000030
COCCn1cc(NC(=O)c2ccnnc2C(=O)OC)ccc1=O,pyrazine2pyridazine_0000000031
COCCn1cc(NC(=O)c2nnccc2C(=O)OC)ccc1=O,pyrazine2pyridazine_0000000032
Cc1ccnnc1C(=O)NCC1CCCN1C(=O)[C@H]1C[C@@H](F)C1,pyrazine2pyridazine_0000000033
Cc1nnccc1C(=O)NCC1CCCN1C(=O)[C@H]1C[C@@H](F)C1,pyrazine2pyridazine_0000000034
COC(=O)c1c(C(F)(F)F)cnnc1NCc1ncc(F)cc1F,pyrazine2pyridazine_0000000035
COC(=O)c1nnc(C(F)(F)F)cc1NCc1ncc(F)cc1F,pyrazine2pyridazine_0000000036
CC(Nc1nccc(C#N)c1Br)c1ccnnc1,pyrazine2pyridazine_0000000037
CC(Nc1nccc(C#N)c1Br)c1cccnn1,pyrazine2pyridazine_0000000038
CC[C@@H]1[C@@H](C(=O)N(C)[C@@H](C)CNC(=O)c2nnccc2N)CCN1C,pyrazine2pyridazine_0000000039
CC[C@@H]1[C@@H](C(=O)N(C)[C@@H](C)CNC(=O)c2ccnnc2N)CCN1C,pyrazine2pyridazine_0000000040
Cc1cnnc(CNC(=O)c2cnn(CC(C)C)c2C2CC2)c1,pyrazine2pyridazine_0000000041
Cc1cc(CNC(=O)c2cnn(CC(C)C)c2C2CC2)cnn1,pyrazine2pyridazine_0000000042
COC(=O)c1cnncc1N1CCC2(CC1)COC(C)CN2,pyrazine2pyridazine_0000000043
COC(=O)c1ccc(N2CCC3(CC2)COC(C)CN3)nn1,pyrazine2pyridazine_0000000044
CC(C)CCc1ncc2c(n1)CCN(c1nnccc1N)C2,pyrazine2pyridazine_0000000045
CC(C)CCc1ncc2c(n1)CCN(c1ccnnc1N)C2,pyrazine2pyridazine_0000000046
CCOc1cc(C(=O)N2CC[C@@H](C)[C@](C)(O)C2)cnn1,pyrazine2pyridazine_0000000047
CCOc1cnnc(C(=O)N2CC[C@@H](C)[C@](C)(O)C2)c1,pyrazine2pyridazine_0000000048
CC(C)(C#N)C(=O)NCC1(NC(=O)c2cc3ccccc3nn2)CC1,pyrazine2pyridazine_0000000049
CC(C)(C#N)C(=O)NCC1(NC(=O)c2cnnc3ccccc23)CC1,pyrazine2pyridazine_0000000050
CCOc1cc(C(=O)N2CCC(C3(O)CCOC3)CC2)cnn1,pyrazine2pyridazine_0000000051
CCOc1cnnc(C(=O)N2CCC(C3(O)CCOC3)CC2)c1,pyrazine2pyridazine_0000000052
CC(C(=O)N[C@H]1CC[C@H]1CNC(=O)c1ccnnc1)c1ncco1,pyrazine2pyridazine_0000000053
CC(C(=O)N[C@H]1CC[C@H]1CNC(=O)c1cccnn1)c1ncco1,pyrazine2pyridazine_0000000054
O=C(Nc1cccc2nnccc12)N1C[C@@H](O)[C@@H](O)CC2(CC2)C1,pyrazine2pyridazine_0000000055
O=C(Nc1cccc2ccnnc12)N1C[C@@H](O)[C@@H](O)CC2(CC2)C1,pyrazine2pyridazine_0000000056
COc1cc(-c2cc(C(=O)N3CCC(N)C3)cnn2)cc(C)n1,pyrazine2pyridazine_0000000057
COc1cc(-c2cnnc(C(=O)N3CCC(N)C3)c2)cc(C)n1,pyrazine2pyridazine_0000000058
Cc1nnccc1NC(=O)N1CCN(C2CCOCC2)C(=O)C1,pyrazine2pyridazine_0000000059
Cc1ccnnc1NC(=O)N1CCN(C2CCOCC2)C(=O)C1,pyrazine2pyridazine_0000000060
O=C(NC1CCCN(c2cccnn2)C1)c1ncccc1C(F)F,pyrazine2pyridazine_0000000061
O=C(NC1CCCN(c2ccnnc2)C1)c1ncccc1C(F)F,pyrazine2pyridazine_0000000062
Cc1nnccc1C(=O)N1CCCC(NC(=O)CCC2CC2)CC1,pyrazine2pyridazine_0000000063
Cc1ccnnc1C(=O)N1CCCC(NC(=O)CCC2CC2)CC1,pyrazine2pyridazine_0000000064
CC1Cc2cc([C@H](C)NC(=O)c3cnncc3N)ccc2O1,pyrazine2pyridazine_0000000065
CC1Cc2cc([C@H](C)NC(=O)c3ccc(N)nn3)ccc2O1,pyrazine2pyridazine_0000000066
CCC(C)(C#N)C(=O)N1C[C@@H]2C[C@H]1[C@@H]2NC(=O)c1cccnn1,pyrazine2pyridazine_0000000067
CCC(C)(C#N)C(=O)N1C[C@@H]2C[C@H]1[C@@H]2NC(=O)c1ccnnc1,pyrazine2pyridazine_0000000068
COCC1CCN(c2cnnc(OC(F)(F)F)c2)CC1,pyrazine2pyridazine_0000000069
COCC1CCN(c2cc(OC(F)(F)F)cnn2)CC1,pyrazine2pyridazine_0000000070
