SMILES,ID
C[C@@H](NC(=O)c1cccnc1)C1CCN(C(=O)c2ccns2)CC1,pyrazine2pyridine_0000000001
C[C@@H](NC(=O)c1ccccn1)C1CCN(C(=O)c2ccns2)CC1,pyrazine2pyridine_0000000002
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2ncccc2O)C1,pyrazine2pyridine_0000000003
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2cccnc2O)C1,pyrazine2pyridine_0000000004
Nc1ccc(C(=O)NCC2(NC(=O)CC3CCCOCC3)CC2)cn1,pyrazine2pyridine_0000000005
Nc1ccc(C(=O)NCC2(NC(=O)CC3CCCOCC3)CC2)nc1,pyrazine2pyridine_0000000006
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1ncccc1O,pyrazine2pyridine_0000000007
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1cccnc1O,pyrazine2pyridine_0000000008
Cc1ccc(NC(=O)c2cnc3n(c2=O)CCS3)cn1,pyrazine2pyridine_0000000009
Cc1ccc(NC(=O)c2cnc3n(c2=O)CCS3)nc1,pyrazine2pyridine_0000000010
O=C(NCC12CCC(F)(CO1)C2)Nc1cccnc1O,pyrazine2pyridine_0000000011
O=C(NCC12CCC(F)(CO1)C2)Nc1ncccc1O,pyrazine2pyridine_0000000012
CC(C)(CNc1cncc(-n2cncn2)c1)CN1CCCC1,pyrazine2pyridine_0000000013
CC(C)(CNc1cccc(-n2cncn2)n1)CN1CCCC1,pyrazine2pyridine_0000000014
CC1CC(CN)CC(C)N1C(=O)c1cccc2cccnc12,pyrazine2pyridine_0000000015
CC1CC(CN)CC(C)N1C(=O)c1cccc2ncccc12,pyrazine2pyridine_0000000016
COCCN1CCCC12CN(C(=O)Nc1ncc3cccnc3n1)C2,pyrazine2pyridine_0000000017
COCCN1CCCC12CN(C(=O)Nc1ncc3ncccc3n1)C2,pyrazine2pyridine_0000000018
CCCCC(=O)NC1CCN(C(=O)c2ccc(OC(C)C)nc2)CC1,pyrazine2pyridine_0000000019
CCCCC(=O)NC1CCN(C(=O)c2ccc(OC(C)C)cn2)CC1,pyrazine2pyridine_0000000020
Cc1ccc(C(=O)N2CCCC(CNC(=O)[C@H]3CC3(C)C)C2)cn1,pyrazine2pyridine_0000000021
Cc1ccc(C(=O)N2CCCC(CNC(=O)[C@H]3CC3(C)C)C2)nc1,pyrazine2pyridine_0000000022
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2ccccn2)CCCC1,pyrazine2pyridine_0000000023
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2cccnc2)CCCC1,pyrazine2pyridine_0000000024
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3cncc(C)c3)C2)C1,pyrazine2pyridine_0000000025
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3cccc(C)n3)C2)C1,pyrazine2pyridine_0000000026
CC1(C)CCC(OC(=O)c2cncc(-n3ccnc3)c2)C1,pyrazine2pyridine_0000000027
CC1(C)CCC(OC(=O)c2cccc(-n3ccnc3)n2)C1,pyrazine2pyridine_0000000028
COC(=O)[C@@H]1CCC[C@@H]1NC(=O)c1cnc(-c2ccccn2)s1,pyrazine2pyridine_0000000029
COC(=O)[C@@H]1CCC[C@@H]1NC(=O)c1cnc(-c2cccnc2)s1,pyrazine2pyridine_0000000030
COCCn1cc(NC(=O)c2cccnc2C(=O)OC)ccc1=O,pyrazine2pyridine_0000000031
COCCn1cc(NC(=O)c2ncccc2C(=O)OC)ccc1=O,pyrazine2pyridine_0000000032
