SMILES,ID
Cn1cc(CC(=O)N2CCCCC2(C)C)nc1C(F)(F)F,pyrazole2imidazole_0000000001
Cn1c(C(=O)NC2CC(CF)C2)cnc1C(=O)NC1CC(CF)C1,pyrazole2imidazole_0000000002
Cc1ccc(C(=O)NC[C@H](CO)NC(=O)c2ncc(O)n2C)c(C)c1,pyrazole2imidazole_0000000003
Cc1cnc(C)n1CC(C)NC(=O)N1CCOC(C#N)C1,pyrazole2imidazole_0000000004
Cc1nc(-c2noc(CCNC(=O)CC(C)C)n2)c[nH]1,pyrazole2imidazole_0000000005
Cc1cn(C(C)C(=O)N2C[C@H](F)C[C@@H](OC(C)(C)C)C2)cn1,pyrazole2imidazole_0000000006
COC(c1ccc(Cl)cc1)C(C)NC(=O)c1ncc(C(=O)O)[nH]1,pyrazole2imidazole_0000000007
COc1ncc(C)cc1NC(=O)Nc1cn(CC(F)F)c(C)n1,pyrazole2imidazole_0000000008
CC1=C(C(=O)N(C)C[C@H](C)NC(=O)c2cnc(C3CC3)n2C)CCO1,pyrazole2imidazole_0000000009
Cn1cncc1[C@@H]1OCC[C@H]1CNC(=O)N1CC(CO)C1,pyrazole2imidazole_0000000010
Cc1nc(S(=O)(=O)NCCC(=O)OCc2cncn2C)cn1C,pyrazole2imidazole_0000000011
Cc1cn(CC(=O)N(C)[C@@H](C)CNC(=O)[C@H]2C[C@@H](O)C2)cn1,pyrazole2imidazole_0000000012
O=C(N[C@@H](CO)c1ccccc1)c1nc[nH]c1C1CCC1,pyrazole2imidazole_0000000013
CC(C)n1cncc1CNC1CCN(c2ncccc2Cl)C1,pyrazole2imidazole_0000000014
CO[C@@H]1C[C@H]1C(=O)N[C@H]1CN(C(=O)c2[nH]c(C)nc2Cl)C[C@H]1C,pyrazole2imidazole_0000000015
O=C(Cc1c[nH]cn1)NCC1(NC(=O)C2COCCO2)CC1,pyrazole2imidazole_0000000016
Cc1cccc(CC(NC(=O)c2nc(C)n(C)c2C)C2CCCO2)c1,pyrazole2imidazole_0000000017
CO[C@@H]1C[C@H](CS(C)(=O)=O)N(C(=O)C(C)Cc2cn(C)cn2)C1,pyrazole2imidazole_0000000018
COC(=O)CC[C@@H](C)NC(=O)c1ccc2c(c1)nc(C)n2C,pyrazole2imidazole_0000000019
Cn1ccnc1C(C)(C)C(=O)N1CCCC2(CC1)CNC(=O)O2,pyrazole2imidazole_0000000020
COc1cnc(C(=O)N[C@H]2C[C@H]2NC(=O)C(C)(O)C(C)C)[nH]1,pyrazole2imidazole_0000000021
N#CC1CS(=O)(=NC(=O)c2ccc3c(c2)ncn3C(F)F)C1,pyrazole2imidazole_0000000022
