SMILES,ID
CCOC1CCN(C(=O)c2ccno2)CC1C,pyridazine2isoxazole_0000000001
c1cc(N2CCNCC2)on1,pyridazine2isoxazole_0000000002
OCc1ccno1,pyridazine2isoxazole_0000000003
OC(CNc1ccno1)COc1ccc(C(F)(F)F)cc1,pyridazine2isoxazole_0000000004
CNc1nocc1C(=O)NCCc1nc(C)cs1,pyridazine2isoxazole_0000000005
CNc1conc1C(=O)NCCc1nc(C)cs1,pyridazine2isoxazole_0000000006
Cc1ccon1,pyridazine2isoxazole_0000000007
Cc1cnoc1C(=O)N1C[C@@H](NC(=O)CCC(C)(C)C)C[C@H]1CO,pyridazine2isoxazole_0000000008
c1cnoc1,pyridazine2isoxazole_0000000009
Cc1ccccc1N1CCN(C(=O)c2ccno2)CC1,pyridazine2isoxazole_0000000010
O=C(C[C@H]1CCCO1)N[C@@H]1CCCC[C@H]1NC(=O)c1ccno1,pyridazine2isoxazole_0000000011
Cc1conc1C(=O)NC[C@H]1CN(C(=O)[C@@]23C[C@@H](F)[C@@H]2C3)CCO1,pyridazine2isoxazole_0000000012
Cc1nocc1C(=O)NC[C@H]1CN(C(=O)[C@@]23C[C@@H](F)[C@@H]2C3)CCO1,pyridazine2isoxazole_0000000013
c1ccc2oncc2c1,pyridazine2isoxazole_0000000014
COCCN(C(=O)c1ccno1)C1CCS(=O)(=O)C1,pyridazine2isoxazole_0000000015
FC(F)(F)C1CN(c2cc(COc3[c]cccc3)no2)CCO1,pyridazine2isoxazole_0000000016
c1ccc2c(c1)OCc1cnoc1-2,pyridazine2isoxazole_0000000017
CNc1nocc1C(=O)NC[C@@H]1CCN(C(=O)[C@H]2C[C@H]2C)C1,pyridazine2isoxazole_0000000018
CNc1conc1C(=O)NC[C@@H]1CCN(C(=O)[C@H]2C[C@H]2C)C1,pyridazine2isoxazole_0000000019
CN(Cc1c(F)cccc1Cl)c1ccno1,pyridazine2isoxazole_0000000020
CS(=O)(=O)c1ccno1,pyridazine2isoxazole_0000000021
Cc1c[nH]c(C(=O)N2C[C@H]3C[C@@H](N(C)C(=O)c4ccno4)[C@@H]2C3)c1,pyridazine2isoxazole_0000000022
COC(=O)c1cc(Cl)on1,pyridazine2isoxazole_0000000023
COC(=O)c1cnoc1N1Cc2c(N)nn(C)c2C1,pyridazine2isoxazole_0000000024
CC1CCC(C(=O)OC(C)(C)C)CN1C(=O)Nc1ccno1,pyridazine2isoxazole_0000000025
Fc1ccno1,pyridazine2isoxazole_0000000026
Cc1cnoc1C(=O)N1CC(N(C)C(=O)c2ccc(C#N)o2)C1,pyridazine2isoxazole_0000000027
Nc1ccno1,pyridazine2isoxazole_0000000028
Cc1cc(C(=O)NC[C@H](C)CNC(=O)c2ccno2)cn1C,pyridazine2isoxazole_0000000029
CNc1conc1C(=O)NC[C@H](C)NC(=O)[C@@]12COC[C@@H]1C2,pyridazine2isoxazole_0000000030
CNc1nocc1C(=O)NC[C@H](C)NC(=O)[C@@]12COC[C@@H]1C2,pyridazine2isoxazole_0000000031
CC1CC(COC(=O)c2ccno2)=NO1,pyridazine2isoxazole_0000000032
c1ccc(-c2ccno2)cc1,pyridazine2isoxazole_0000000033
Cc1cnoc1C,pyridazine2isoxazole_0000000034
Cc1cc(C(=O)NC2(CO)CN(C(=O)[C@@H]3CCCN3C)C2)on1,pyridazine2isoxazole_0000000035
O=C(NC1CN(C(=O)[C@H]2C[C@H](F)C2)C1)c1conc1O,pyridazine2isoxazole_0000000036
O=C(NC1CN(C(=O)[C@H]2C[C@H](F)C2)C1)c1nocc1O,pyridazine2isoxazole_0000000037
O=C(NCC1(O)CCN(C(=O)CCC2CC2)C1)c1ccno1,pyridazine2isoxazole_0000000038
[CH2]CCc1cc(C(=O)NC2(C)CCN(C(=O)[C@@]3(C)C[C@@H]3C)C2)on1,pyridazine2isoxazole_0000000039
c1noc2c1CCC2,pyridazine2isoxazole_0000000040
CC(C)(C)CC(=O)N1CCC(O)(CCNC(=O)c2ccno2)CC1,pyridazine2isoxazole_0000000041
c1nocc1N1CCCC1,pyridazine2isoxazole_0000000042
OC[C@@H]1CN(c2cc(N3CCCC3)no2)C[C@H]1c1ccccc1,pyridazine2isoxazole_0000000043
COC(C)(C)CC(=O)N1CCN(C)CC1CNC(=O)c1ccno1,pyridazine2isoxazole_0000000044
