SMILES,ID
CCOC1CCN(C(=O)c2cncc(N3CCNCC3)n2)CC1C,pyridazine2pyrazine_0000000001
OCc1cncc(NCC(O)COc2ccc(C(F)(F)F)cc2)n1,pyridazine2pyrazine_0000000002
CNc1cncc(C(=O)NCCc2nc(C)cs2)n1,pyridazine2pyrazine_0000000003
Cc1nccnc1C(=O)N1C[C@@H](NC(=O)CCC(C)(C)C)C[C@H]1CO,pyridazine2pyrazine_0000000004
Cc1ccccc1N1CCN(C(=O)c2cnccn2)CC1,pyridazine2pyrazine_0000000005
O=C(C[C@H]1CCCO1)N[C@@H]1CCCC[C@H]1NC(=O)c1cnccn1,pyridazine2pyrazine_0000000006
Cc1cncc(C(=O)NC[C@H]2CN(C(=O)[C@@]34C[C@@H](F)[C@@H]3C4)CCO2)n1,pyridazine2pyrazine_0000000007
O=C(Nc1cnc2ccccc2n1)N1CC[C@@H]2OCCO[C@H]2C1,pyridazine2pyrazine_0000000008
COCCN(C(=O)c1cnccn1)C1CCS(=O)(=O)C1,pyridazine2pyrazine_0000000009
FC(F)(F)C1CN(c2cnc3c(n2)-c2ccccc2OC3)CCO1,pyridazine2pyrazine_0000000010
CNc1cncc(C(=O)NC[C@@H]2CCN(C(=O)[C@H]3C[C@H]3C)C2)n1,pyridazine2pyrazine_0000000011
CN(Cc1c(F)cccc1Cl)c1cncc(S(C)(=O)=O)n1,pyridazine2pyrazine_0000000012
Cc1c[nH]c(C(=O)N2C[C@H]3C[C@@H](N(C)C(=O)c4cnccn4)[C@@H]2C3)c1,pyridazine2pyrazine_0000000013
COC(=O)c1ncc(Cl)nc1N1Cc2c(N)nn(C)c2C1,pyridazine2pyrazine_0000000014
CC1CCC(C(=O)OC(C)(C)C)CN1C(=O)Nc1cncc(F)n1,pyridazine2pyrazine_0000000015
Cc1nccnc1C(=O)N1CC(N(C)C(=O)c2ccc(C#N)o2)C1,pyridazine2pyrazine_0000000016
Cc1cc(C(=O)NC[C@H](C)CNC(=O)c2cncc(N)n2)cn1C,pyridazine2pyrazine_0000000017
CNc1cncc(C(=O)NC[C@H](C)NC(=O)[C@@]23COC[C@@H]2C3)n1,pyridazine2pyrazine_0000000018
CC1CC(COC(=O)c2cncc(-c3ccccc3)n2)=NO1,pyridazine2pyrazine_0000000019
Cc1ncc(C(=O)NC2(CO)CN(C(=O)[C@@H]3CCCN3C)C2)nc1C,pyridazine2pyrazine_0000000020
O=C(NC1CN(C(=O)[C@H]2C[C@H](F)C2)C1)c1cncc(O)n1,pyridazine2pyrazine_0000000021
O=C(NCC1(O)CCN(C(=O)CCC2CC2)C1)c1cnccn1,pyridazine2pyrazine_0000000022
C[C@H]1C[C@]1(C)C(=O)N1CCC(C)(NC(=O)c2cnc3c(n2)CCC3)C1,pyridazine2pyrazine_0000000023
CC(C)(C)CC(=O)N1CCC(O)(CCNC(=O)c2cnccn2)CC1,pyridazine2pyrazine_0000000024
OC[C@@H]1CN(c2cnc(N3CCCC3)cn2)C[C@H]1c1ccccc1,pyridazine2pyrazine_0000000025
COC(C)(C)CC(=O)N1CCN(C)CC1CNC(=O)c1cnccn1,pyridazine2pyrazine_0000000026
Cc1ccc(F)c(C(=O)NC[C@H](C)N(C)C(=O)c2cnc(C)cn2)c1,pyridazine2pyrazine_0000000027
COC(=O)c1ccc(C)c(C(C)NCc2cnccn2)c1,pyridazine2pyrazine_0000000028
CN(C)C(=O)c1cncc(NC(=O)NC2(C)CC(F)C2)n1,pyridazine2pyrazine_0000000029
CNc1ccnc(CNc2cncc(C(F)(F)F)n2)c1,pyridazine2pyrazine_0000000030
NC1(C(=O)N2CCN(c3cnccn3)CC2)CCSCC1,pyridazine2pyrazine_0000000031
CC(=O)NCC(=O)N1CCC(N(C)C(=O)c2cnc(C)c(C)n2)CC1,pyridazine2pyrazine_0000000032
CNC(=O)c1cncc(SC2CCCS(=O)(=O)C2)n1,pyridazine2pyrazine_0000000033
NC(=O)C1CCCC(C(=O)N2CC(NC(=O)c3cnccn3)C2)C1,pyridazine2pyrazine_0000000034
CC(=O)Nc1cccc(Sc2cncc(C(=O)N(C)C)n2)c1,pyridazine2pyrazine_0000000035
CCC[C@H](O)C(=O)N1CC2(CCCN(C(=O)c3nccnc3C)C2)C1,pyridazine2pyrazine_0000000036
Cc1nccnc1C(=O)NC1CC(NC(=O)[C@@H]2C[C@H]3C[C@@H]2C[C@H]3O)C1,pyridazine2pyrazine_0000000037
CCc1cncc(NC(=O)NC2CC(=O)N(c3ccccc3)C2)n1,pyridazine2pyrazine_0000000038
Cc1cncc(C(=O)N(C)[C@@H]2CCCN(C(=O)Cc3cn[nH]c3)C2)n1,pyridazine2pyrazine_0000000039
COC(C)(C)CC(=O)N1CCCC1(C)CNC(=O)c1cncc(N)n1,pyridazine2pyrazine_0000000040
O=C(NCC1(O)CN(C(=O)C2CSC2)C1)c1cnc(Cl)cn1,pyridazine2pyrazine_0000000041
CCc1ccc(C2=CCN(c3cnc(N)cn3)CC2)cc1,pyridazine2pyrazine_0000000042
CC1CC1c1ccc(CNc2cncc(C(N)=O)n2)o1,pyridazine2pyrazine_0000000043
COc1cnc(OC)c(C(=O)NCc2ccc(CO)cc2)n1,pyridazine2pyrazine_0000000044
O=C(N[C@@H]1CN(C(=O)C2(CF)CCC2)C[C@H]1O)c1cncc(O)n1,pyridazine2pyrazine_0000000045
O=C(N[C@@H]1CN(C(=O)c2cnc3ccccc3n2)C[C@H]1O)[C@@H]1C[C@@H]1F,pyridazine2pyrazine_0000000046
Cc1cnc(N2CC(C)OC(C3CC3)C2)c(C(F)(F)F)n1,pyridazine2pyrazine_0000000047
CN(CC1CCN1C(=O)OC(C)(C)C)C(=O)Nc1cnc(C#N)cn1,pyridazine2pyrazine_0000000048
COC(=O)c1cncc(NCC(O)c2ccc(OC(C)C)cc2)n1,pyridazine2pyrazine_0000000049
