SMILES,ID
c1csc(N2CCNCC2)n1,pyridazine2thiazole_0000000001
CCOC1CCN(C(=O)c2nccs2)CC1C,pyridazine2thiazole_0000000002
OC(CNc1nccs1)COc1ccc(C(F)(F)F)cc1,pyridazine2thiazole_0000000003
OCc1nccs1,pyridazine2thiazole_0000000004
CNc1scnc1C(=O)NCCc1nc(C)cs1,pyridazine2thiazole_0000000005
CNc1ncsc1C(=O)NCCc1nc(C)cs1,pyridazine2thiazole_0000000006
Cc1cnc(C(=O)N2C[C@@H](NC(=O)CCC(C)(C)C)C[C@H]2CO)s1,pyridazine2thiazole_0000000007
Cc1cscn1,pyridazine2thiazole_0000000008
c1cscn1,pyridazine2thiazole_0000000009
Cc1ccccc1N1CCN(C(=O)c2nccs2)CC1,pyridazine2thiazole_0000000010
O=C(C[C@H]1CCCO1)N[C@@H]1CCCC[C@H]1NC(=O)c1nccs1,pyridazine2thiazole_0000000011
Cc1scnc1C(=O)NC[C@H]1CN(C(=O)[C@@]23C[C@@H](F)[C@@H]2C3)CCO1,pyridazine2thiazole_0000000012
Cc1ncsc1C(=O)NC[C@H]1CN(C(=O)[C@@]23C[C@@H](F)[C@@H]2C3)CCO1,pyridazine2thiazole_0000000013
C1=Cc2cnc(s2)C=C1,pyridazine2thiazole_0000000014
COCCN(C(=O)c1nccs1)C1CCS(=O)(=O)C1,pyridazine2thiazole_0000000015
c1ccc2c(c1)OCc1cnc-2s1,pyridazine2thiazole_0000000016
FC(F)(F)C1CN(c2nc(COc3[c]cccc3)cs2)CCO1,pyridazine2thiazole_0000000017
CNc1ncsc1C(=O)NC[C@@H]1CCN(C(=O)[C@H]2C[C@H]2C)C1,pyridazine2thiazole_0000000018
CNc1scnc1C(=O)NC[C@@H]1CCN(C(=O)[C@H]2C[C@H]2C)C1,pyridazine2thiazole_0000000019
CN(Cc1c(F)cccc1Cl)c1nccs1,pyridazine2thiazole_0000000020
CS(=O)(=O)c1nccs1,pyridazine2thiazole_0000000021
Cc1c[nH]c(C(=O)N2C[C@H]3C[C@@H](N(C)C(=O)c4nccs4)[C@@H]2C3)c1,pyridazine2thiazole_0000000022
COC(=O)c1cnc(N2Cc3c(N)nn(C)c3C2)s1,pyridazine2thiazole_0000000023
COC(=O)c1csc(Cl)n1,pyridazine2thiazole_0000000024
Fc1nccs1,pyridazine2thiazole_0000000025
CC1CCC(C(=O)OC(C)(C)C)CN1C(=O)Nc1nccs1,pyridazine2thiazole_0000000026
Cc1cnc(C(=O)N2CC(N(C)C(=O)c3ccc(C#N)o3)C2)s1,pyridazine2thiazole_0000000027
Cc1cc(C(=O)NC[C@H](C)CNC(=O)c2nccs2)cn1C,pyridazine2thiazole_0000000028
Nc1nccs1,pyridazine2thiazole_0000000029
CNc1scnc1C(=O)NC[C@H](C)NC(=O)[C@@]12COC[C@@H]1C2,pyridazine2thiazole_0000000030
CNc1ncsc1C(=O)NC[C@H](C)NC(=O)[C@@]12COC[C@@H]1C2,pyridazine2thiazole_0000000031
CC1CC(COC(=O)c2nccs2)=NO1,pyridazine2thiazole_0000000032
c1ccc(-c2nccs2)cc1,pyridazine2thiazole_0000000033
Cc1cnc(C)s1,pyridazine2thiazole_0000000034
Cc1csc(C(=O)NC2(CO)CN(C(=O)[C@@H]3CCCN3C)C2)n1,pyridazine2thiazole_0000000035
O=C(NC1CN(C(=O)[C@H]2C[C@H](F)C2)C1)c1scnc1O,pyridazine2thiazole_0000000036
O=C(NC1CN(C(=O)[C@H]2C[C@H](F)C2)C1)c1ncsc1O,pyridazine2thiazole_0000000037
O=C(NCC1(O)CCN(C(=O)CCC2CC2)C1)c1nccs1,pyridazine2thiazole_0000000038
c1nc2sc1CCC2,pyridazine2thiazole_0000000039
[CH2]CCc1csc(C(=O)NC2(C)CCN(C(=O)[C@@]3(C)C[C@@H]3C)C2)n1,pyridazine2thiazole_0000000040
CC(C)(C)CC(=O)N1CCC(O)(CCNC(=O)c2nccs2)CC1,pyridazine2thiazole_0000000041
c1ncc(N2CCCC2)s1,pyridazine2thiazole_0000000042
OC[C@@H]1CN(c2nc(N3CCCC3)cs2)C[C@H]1c1ccccc1,pyridazine2thiazole_0000000043
COC(C)(C)CC(=O)N1CCN(C)CC1CNC(=O)c1nccs1,pyridazine2thiazole_0000000044
Cc1ccc(F)c(C(=O)NC[C@H](C)N(C)C(=O)c2cncs2)c1,pyridazine2thiazole_0000000045
Cc1ccc(F)c(C(=O)NC[C@H](C)N(C)C(=O)c2csc(C)n2)c1,pyridazine2thiazole_0000000046
COC(=O)c1ccc(C)c(C(C)NCc2nccs2)c1,pyridazine2thiazole_0000000047
CN(C)C(=O)c1nccs1,pyridazine2thiazole_0000000048
CC1(NC(=O)Nc2nccs2)CC(F)C1,pyridazine2thiazole_0000000049
CNc1ccnc(CNc2nccs2)c1,pyridazine2thiazole_0000000050
FC(F)(F)c1nccs1,pyridazine2thiazole_0000000051
NC1(C(=O)N2CCN(c3cncs3)CC2)CCSCC1,pyridazine2thiazole_0000000052
NC1(C(=O)N2CCN(c3cscn3)CC2)CCSCC1,pyridazine2thiazole_0000000053
CC(=O)NCC(=O)N1CCC(N(C)C(=O)c2nc(C)cs2)CC1,pyridazine2thiazole_0000000054
O=S1(=O)CCCC(Sc2nccs2)C1,pyridazine2thiazole_0000000055
CNC(=O)c1nccs1,pyridazine2thiazole_0000000056
NC(=O)C1CCCC(C(=O)N2CC(NC(=O)c3nccs3)C2)C1,pyridazine2thiazole_0000000057
CC(=O)Nc1cccc(Sc2nccs2)c1,pyridazine2thiazole_0000000058
CCC[C@H](O)C(=O)N1CC2(CCCN(C(=O)c3cscn3)C2)C1,pyridazine2thiazole_0000000059
CCC[C@H](O)C(=O)N1CC2(CCCN(C(=O)c3cnc(C)s3)C2)C1,pyridazine2thiazole_0000000060
O=C(NC1CC(NC(=O)[C@@H]2C[C@H]3C[C@@H]2C[C@H]3O)C1)c1cscn1,pyridazine2thiazole_0000000061
Cc1ncc(C(=O)NC2CC(NC(=O)[C@@H]3C[C@H]4C[C@@H]3C[C@H]4O)C2)s1,pyridazine2thiazole_0000000062
CCc1nccs1,pyridazine2thiazole_0000000063
O=C(Nc1nccs1)NC1CC(=O)N(c2ccccc2)C1,pyridazine2thiazole_0000000064
Cc1nccs1,pyridazine2thiazole_0000000065
CN(C(=O)c1nccs1)[C@@H]1CCCN(C(=O)Cc2cn[nH]c2)C1,pyridazine2thiazole_0000000066
COC(C)(C)CC(=O)N1CCCC1(C)CNC(=O)c1nccs1,pyridazine2thiazole_0000000067
O=C(NCC1(O)CN(C(=O)C2CSC2)C1)c1nc(Cl)cs1,pyridazine2thiazole_0000000068
Clc1cncs1,pyridazine2thiazole_0000000069
CCc1ccc(C2=CCN(c3nc(N)cs3)CC2)cc1,pyridazine2thiazole_0000000070
Nc1cncs1,pyridazine2thiazole_0000000071
NC(=O)c1nccs1,pyridazine2thiazole_0000000072
CC1CC1c1ccc(CNc2nccs2)o1,pyridazine2thiazole_0000000073
COc1nc(OC)c(C(=O)NCc2ccc(CO)cc2)s1,pyridazine2thiazole_0000000074
COc1scnc1C(=O)NCc1ccc(CO)cc1,pyridazine2thiazole_0000000075
O=C(N[C@@H]1CN(C(=O)C2(CF)CCC2)C[C@H]1O)c1ncsc1O,pyridazine2thiazole_0000000076
O=C(N[C@@H]1CN(C(=O)C2(CF)CCC2)C[C@H]1O)c1scnc1O,pyridazine2thiazole_0000000077
O=C(N[C@@H]1CN(C(=O)c2nc3sc2C=CC=C3)C[C@H]1O)[C@@H]1C[C@@H]1F,pyridazine2thiazole_0000000078
Cc1scnc1C(F)(F)F,pyridazine2thiazole_0000000079
Cc1nc(N2CC(C)OC(C3CC3)C2)sc1C(F)(F)F,pyridazine2thiazole_0000000080
N#Cc1cncs1,pyridazine2thiazole_0000000081
CN(CC1CCN1C(=O)OC(C)(C)C)C(=O)Nc1nc(C#N)cs1,pyridazine2thiazole_0000000082
CC(C)Oc1ccc(C(O)CNc2nccs2)cc1,pyridazine2thiazole_0000000083
COC(=O)c1nccs1,pyridazine2thiazole_0000000084
CNc1ncsc1C(=O)N[C@@H]1CCN(C(=O)C2C[C@H]3CC[C@H]3C2)C1,pyridazine2thiazole_0000000085
CNc1scnc1C(=O)N[C@@H]1CCN(C(=O)C2C[C@H]3CC[C@H]3C2)C1,pyridazine2thiazole_0000000086
N#CCC(=O)N1CCCC2(C1)CN(C(=O)c1scnc1O)C2,pyridazine2thiazole_0000000087
N#CCC(=O)N1CCCC2(C1)CN(C(=O)c1ncsc1O)C2,pyridazine2thiazole_0000000088
CN(CC1CN(Cc2noc3c2CCCC3)CCO1)c1nccs1,pyridazine2thiazole_0000000089
COc1cncs1,pyridazine2thiazole_0000000090
COc1csc(C(=O)N2CCC[C@@H](NC(=O)C3CCC(=O)C3)C2)n1,pyridazine2thiazole_0000000091
Cn1c(C(=O)N[C@@H]2[C@@H]3CC[C@H]2N(C(=O)c2nccs2)C3)c[nH]c1=O,pyridazine2thiazole_0000000092
O=C(O)c1nccs1,pyridazine2thiazole_0000000093
CN1CCN(c2cc(F)cc(CNc3nccs3)c2)CC1,pyridazine2thiazole_0000000094
[CH2]CCc1csc(C(=O)NCC2CN(C(=O)C3CCC(=O)O3)C2)n1,pyridazine2thiazole_0000000095
CC(=O)NCC(=O)N(C)[C@H]1CCCN(C(=O)c2nccs2)C1,pyridazine2thiazole_0000000096
COc1nccs1,pyridazine2thiazole_0000000097
CN(CCNC(=O)c1nccs1)C(=O)c1ccncc1F,pyridazine2thiazole_0000000098
CCOC(=O)c1nc(C)sc1C,pyridazine2thiazole_0000000099
CCOC(=O)c1sc(N2CCC(OCC)C(C)C2)nc1C,pyridazine2thiazole_0000000100
Cc1nn(C)c2ncsc12,pyridazine2thiazole_0000000101
Cc1nn(C)c2sc(N(CCO)CC(C)(C)C)nc12,pyridazine2thiazole_0000000102
CC(=O)N(C)CC(=O)N[C@H]1CCC[C@@H]1CNC(=O)c1cnc(C)s1,pyridazine2thiazole_0000000103
CC(=O)N(C)CC(=O)N[C@H]1CCC[C@@H]1CNC(=O)c1cscn1,pyridazine2thiazole_0000000104
COc1csc(C(=O)N2C[C@@H](CC(=O)O)[C@H](O)C2)n1,pyridazine2thiazole_0000000105
CCC[C@@H]1C[C@H]1C(=O)N1CCC[C@]1(C)CNC(=O)c1scnc1C,pyridazine2thiazole_0000000106
CCC[C@@H]1C[C@H]1C(=O)N1CCC[C@]1(C)CNC(=O)c1ncsc1C,pyridazine2thiazole_0000000107
CCc1nc(C(=O)N[C@H]2C[C@H](NC(=O)C[C@@H]3CCCO3)C2)cs1,pyridazine2thiazole_0000000108
Cc1ncc(C(=O)N[C@H]2C[C@H](NC(=O)C[C@@H]3CCCO3)C2)s1,pyridazine2thiazole_0000000109
CCCCC(=O)N1CC[C@@H](NC(=O)c2scnc2C)[C@@H]1C(C)(C)C,pyridazine2thiazole_0000000110
CCCCC(=O)N1CC[C@@H](NC(=O)c2ncsc2C)[C@@H]1C(C)(C)C,pyridazine2thiazole_0000000111
Cc1cnc(C(=O)N2CC(O)(CN(C)C(=O)CC3CC(C)C3)C2)s1,pyridazine2thiazole_0000000112
O=C(CSc1ccncc1)N[C@@H]1C[C@@H]1NC(=O)c1nccs1,pyridazine2thiazole_0000000113
[CH2]CCOc1csc(C(=O)Nc2nocc2C(C)C)n1,pyridazine2thiazole_0000000114
c1nc2sc1OCCC2,pyridazine2thiazole_0000000115
Cc1cc(F)ccc1C(=O)NC1CCN(C(=O)c2nccs2)C1,pyridazine2thiazole_0000000116
COc1cc2ncsc2cc1OC,pyridazine2thiazole_0000000117
