SMILES,ID
Cn1cccc1C(=O)N1CC[C@@H]2CN(C(=O)c3ccco3)CC[C@@H]21,pyrimidine2furan_0000000001
Cn1cccc1C(=O)N1CC[C@@H]2CN(C(=O)c3ccoc3)CC[C@@H]21,pyrimidine2furan_0000000002
NC(=O)NC(=O)CCNC(=O)C1CCc2cocc2C1,pyrimidine2furan_0000000003
NC(=O)NC(=O)CCNC(=O)C1CCc2occc2C1,pyrimidine2furan_0000000004
Cc1occc1-n1ccc(NC(=O)[C@@H](N)CC2CC2)n1,pyrimidine2furan_0000000005
Cc1ccc(-n2ccc(NC(=O)[C@@H](N)CC3CC3)n2)o1,pyrimidine2furan_0000000006
CC(=O)N1CC2CCC1(CNC(=O)Cc1c(C)coc1C)CC2,pyrimidine2furan_0000000007
Cc1c(Br)coc1N[C@H]1C[C@@H](c2ccon2)C1,pyrimidine2furan_0000000008
Cc1oc(N[C@H]2C[C@@H](c3ccon3)C2)cc1Br,pyrimidine2furan_0000000009
CN1CC[C@H](C(=O)NCC2CCCCN2C(=O)c2cc(F)co2)C1,pyrimidine2furan_0000000010
CO[C@@H]1C[C@H](OC(C)(C)C)CN(C(=O)c2coc3c2ccn3C)C1,pyrimidine2furan_0000000011
CO[C@@H]1C[C@H](OC(C)(C)C)CN(C(=O)c2occ3c2ccn3C)C1,pyrimidine2furan_0000000012
Cc1occc1C(=O)N1CCO[C@@H](CNC(=O)C2(F)CC2)C1,pyrimidine2furan_0000000013
Cc1cocc1C(=O)N1CCO[C@@H](CNC(=O)C2(F)CC2)C1,pyrimidine2furan_0000000014
O=C1N[C@@H](C(=O)N2CC[C@@H](NC(=O)c3ccco3)[C@H](F)C2)CO1,pyrimidine2furan_0000000015
O=C1N[C@@H](C(=O)N2CC[C@@H](NC(=O)c3ccoc3)[C@H](F)C2)CO1,pyrimidine2furan_0000000016
CC1CCOC1CC(=O)NC1CN(C(=O)c2coc(N(C)C)c2)C1,pyrimidine2furan_0000000017
CCOC(=O)c1cccc(NC(C)CC(=O)Nc2ccc(C)o2)c1,pyrimidine2furan_0000000018
CCOC(=O)c1cccc(NC(C)CC(=O)Nc2occc2C)c1,pyrimidine2furan_0000000019
Cc1oc(-n2cccn2)c(C)c1N1CCC(N(C)C)C1,pyrimidine2furan_0000000020
Cc1oc(N2CCC(N(C)C)C2)c(C)c1-n1cccn1,pyrimidine2furan_0000000021
