SMILES,ID
c1cnoc1,pyrimidine2isoxazole_0000000001
Cn1cccc1C(=O)N1CC[C@@H]2CN(C(=O)c3cnoc3)CC[C@@H]21,pyrimidine2isoxazole_0000000002
[CH2]CC(Cc1ccon1)C(=O)NCCC(=O)NC(N)=O,pyrimidine2isoxazole_0000000003
NC(=O)NC(=O)CCNC(=O)C1CCc2conc2C1,pyrimidine2isoxazole_0000000004
Cc1ccno1,pyrimidine2isoxazole_0000000005
Cc1oncc1-n1ccc(NC(=O)[C@@H](N)CC2CC2)n1,pyrimidine2isoxazole_0000000006
CC(=O)N1CC2CCC1(CNC(=O)Cc1nocc1C)CC2,pyrimidine2isoxazole_0000000007
Cc1c(Br)noc1N[C@H]1C[C@@H](c2ccon2)C1,pyrimidine2isoxazole_0000000008
Brc1cc(N[C@H]2C[C@@H](c3ccon3)C2)on1,pyrimidine2isoxazole_0000000009
CN1CC[C@H](C(=O)NCC2CCCCN2C(=O)c2cc(F)no2)C1,pyrimidine2isoxazole_0000000010
Cn1ccc2nocc21,pyrimidine2isoxazole_0000000011
O=C(c1ccon1)N1CCO[C@@H](CNC(=O)C2(F)CC2)C1,pyrimidine2isoxazole_0000000012
Cc1conc1C(=O)N1CCO[C@@H](CNC(=O)C2(F)CC2)C1,pyrimidine2isoxazole_0000000013
O=C1N[C@@H](C(=O)N2CC[C@@H](NC(=O)c3cnoc3)[C@H](F)C2)CO1,pyrimidine2isoxazole_0000000014
CC1CCOC1CC(=O)NC1CN(C(=O)c2cc(N(C)C)on2)C1,pyrimidine2isoxazole_0000000015
CCOC(=O)c1cccc(NC(C)CC(=O)Nc2ccno2)c1,pyrimidine2isoxazole_0000000016
CCOC(=O)c1cccc(NC(C)CC(=O)Nc2oncc2C)c1,pyrimidine2isoxazole_0000000017
Cc1noc(C)c1-n1cccn1,pyrimidine2isoxazole_0000000018
Cc1noc(C)c1N1CCC(N(C)C)C1,pyrimidine2isoxazole_0000000019
[CH2]CC(Cc1ccon1)C(=O)N[C@H](Cc1ccncc1)C(=O)O,pyrimidine2isoxazole_0000000020
O=C(N[C@H](Cc1ccncc1)C(=O)O)C1CCc2conc2C1,pyrimidine2isoxazole_0000000021
COCCN1CCCC12CN(C(=O)Nc1onc3nccnc13)C2,pyrimidine2isoxazole_0000000022
CN(C(=O)CC(C)(C)O)[C@H]1CCCN(C(=O)c2ccon2)C1,pyrimidine2isoxazole_0000000023
CCc1conc1C(=O)N1CCC[C@H](N(C)C(=O)CC(C)(C)O)C1,pyrimidine2isoxazole_0000000024
