SMILES,ID
c1cn[nH]c1,pyrimidine2pyrazole_0000000001
Cn1cccc1C(=O)N1CC[C@@H]2CN(C(=O)c3cn[nH]c3)CC[C@@H]21,pyrimidine2pyrazole_0000000002
NC(=O)NC(=O)CCNC(=O)C1CCc2c[nH]nc2C1,pyrimidine2pyrazole_0000000003
[CH2]CC(Cc1cc[nH]n1)C(=O)NCCC(=O)NC(N)=O,pyrimidine2pyrazole_0000000004
Cc1ccn[nH]1,pyrimidine2pyrazole_0000000005
Cc1[nH]ncc1-n1ccc(NC(=O)[C@@H](N)CC2CC2)n1,pyrimidine2pyrazole_0000000006
CC(=O)N1CC2CCC1(CNC(=O)Cc1n[nH]cc1C)CC2,pyrimidine2pyrazole_0000000007
Cc1c(Br)n[nH]c1N[C@H]1C[C@@H](c2ccon2)C1,pyrimidine2pyrazole_0000000008
Brc1cc(N[C@H]2C[C@@H](c3ccon3)C2)[nH]n1,pyrimidine2pyrazole_0000000009
CN1CC[C@H](C(=O)NCC2CCCCN2C(=O)c2cc(F)n[nH]2)C1,pyrimidine2pyrazole_0000000010
Cn1ccc2n[nH]cc21,pyrimidine2pyrazole_0000000011
O=C(c1cc[nH]n1)N1CCO[C@@H](CNC(=O)C2(F)CC2)C1,pyrimidine2pyrazole_0000000012
Cc1c[nH]nc1C(=O)N1CCO[C@@H](CNC(=O)C2(F)CC2)C1,pyrimidine2pyrazole_0000000013
O=C1N[C@@H](C(=O)N2CC[C@@H](NC(=O)c3cn[nH]c3)[C@H](F)C2)CO1,pyrimidine2pyrazole_0000000014
CC1CCOC1CC(=O)NC1CN(C(=O)c2cc(N(C)C)[nH]n2)C1,pyrimidine2pyrazole_0000000015
CCOC(=O)c1cccc(NC(C)CC(=O)Nc2[nH]ncc2C)c1,pyrimidine2pyrazole_0000000016
CCOC(=O)c1cccc(NC(C)CC(=O)Nc2ccn[nH]2)c1,pyrimidine2pyrazole_0000000017
Cc1n[nH]c(C)c1-n1cccn1,pyrimidine2pyrazole_0000000018
Cc1n[nH]c(C)c1N1CCC(N(C)C)C1,pyrimidine2pyrazole_0000000019
[CH2]CC(Cc1cc[nH]n1)C(=O)N[C@H](Cc1ccncc1)C(=O)O,pyrimidine2pyrazole_0000000020
O=C(N[C@H](Cc1ccncc1)C(=O)O)C1CCc2c[nH]nc2C1,pyrimidine2pyrazole_0000000021
COCCN1CCCC12CN(C(=O)Nc1[nH]nc3nccnc13)C2,pyrimidine2pyrazole_0000000022
CN(C(=O)CC(C)(C)O)[C@H]1CCCN(C(=O)c2cc[nH]n2)C1,pyrimidine2pyrazole_0000000023
CCc1c[nH]nc1C(=O)N1CCC[C@H](N(C)C(=O)CC(C)(C)O)C1,pyrimidine2pyrazole_0000000024
CC(C)=C(F)CNc1[nH]nc2cnn(C(C)(C)C)c12,pyrimidine2pyrazole_0000000025
CCN(CC1CC(F)(F)C1)C(=O)c1n[nH]cc1N,pyrimidine2pyrazole_0000000026
