SMILES,ID
O=C(c1ccncn1)N1CC[C@H]2[C@H](CCN2C(=O)c2ccco2)C1,pyrrole2furan_0000000001
O=C(NCC1C2CNCC21)c1cc2c(Cl)cc(F)cc2o1,pyrrole2furan_0000000002
CC(C)(F)C(=O)NCC1CC1NC(=O)c1coc2ccccc12,pyrrole2furan_0000000003
COc1ccc2oc(C)c(C(=O)N3C[C@H](OC)C[C@H](OC)C3)c2c1,pyrrole2furan_0000000004
C[C@@]1(NC(=O)c2ccco2)CCN(C(=O)c2nccnc2O)C1,pyrrole2furan_0000000005
O=C(c1ccco1)N1C[C@@H](O)[C@@H](O)CC2(CC2)C1,pyrrole2furan_0000000006
CC(NC(=O)c1ccco1)C(C)NC(=O)c1ccnn(C)c1=O,pyrrole2furan_0000000007
Cc1occc1C(=O)N1CCC(C)(NC(=O)CC2CNC(=O)C2)CC1,pyrrole2furan_0000000008
CO[C@@H]1C[C@H](OC(C)(C)C)CN(C(=O)c2ncnc3occc23)C1,pyrrole2furan_0000000009
O=C(CC1CCCC1)N1CCN(C(=O)c2ccoc2)CC2(CC2)C1,pyrrole2furan_0000000010
O=C(NC1CNC2(CCC2)C1)c1coc2ccc(Br)cc12,pyrrole2furan_0000000011
O=C(NC[C@@H]1C[C@H]1NC(=O)[C@H]1CC1(F)F)c1nccc2ccoc12,pyrrole2furan_0000000012
O=C(CCc1cscn1)N[C@@H]1CCN(C(=O)c2ccco2)C1,pyrrole2furan_0000000013
Cc1cc(F)ccc1C(=O)NC[C@@H]1C[C@H]1CNC(=O)c1ccoc1,pyrrole2furan_0000000014
CN(C(=O)c1ccco1)[C@H]1CCCN(C(=O)c2ccnn2C)C1,pyrrole2furan_0000000015
CC(C)NC(=O)N1CCC(C(=O)NCc2coc3ccccc23)CC1,pyrrole2furan_0000000016
CC1(C(=O)N[C@H]2CC[C@H]2CNC(=O)c2ccc(C#N)o2)CCOCC1,pyrrole2furan_0000000017
CCC(CN(C)C(=O)c1occc1C)NC(=O)c1cnn(C)c1N,pyrrole2furan_0000000018
CN(CC1CCCOC1c1ccccc1)C(=O)c1coc(C(N)=O)c1,pyrrole2furan_0000000019
CCC(C)(C)c1cn([C@@H]2CCN(C(=O)c3ccco3)C[C@H]2O)nn1,pyrrole2furan_0000000020
CN(CC1(C)COC1)C(=O)c1cc(S(=O)(=O)N(C)C)co1,pyrrole2furan_0000000021
CC(C)(O)CC(=O)NC[C@H]1CC[C@H]1NC(=O)c1cc2occc2o1,pyrrole2furan_0000000022
C[C@@H]1C[C@H]1C(=O)N1CCN(C(=O)c2ccco2)C(C2CCCC2)C1,pyrrole2furan_0000000023
CCC1CN(C(=O)[C@@H]2CC[C@@H](O)C2)CCN1C(=O)c1cc(C)oc1C,pyrrole2furan_0000000024
c1ccoc1,pyrrole2furan_0000000025
Cc1cccc2c(CCC(=O)OC3CCCOC3=O)coc12,pyrrole2furan_0000000026
Cc1occc1C(=O)NC[C@@H](C)CNC(=O)[C@@]12C[C@@H](C)[C@@H]1C2,pyrrole2furan_0000000027
CCc1cc(C(=O)NCC2(NC(=O)c3ccco3)CC2)cc(=O)[nH]1,pyrrole2furan_0000000028
Cc1coc(C(=O)N2CCN(C(=O)Cc3cnn(C4CC4)c3)CC2)c1,pyrrole2furan_0000000029
Cc1cccc(C(=O)N[C@@H]2C[C@H]2NC(=O)c2cc(C#N)co2)c1F,pyrrole2furan_0000000030
Cc1cc(C(=O)N[C@@H]2CN(C(=O)C3CN(C(N)=O)C3)C[C@H]2C)co1,pyrrole2furan_0000000031
C[C@H]1C(C(=O)NCC2(O)CCN(C(=O)c3cc4occc4o3)C2)[C@@H]1C,pyrrole2furan_0000000032
O=C(N[C@H]1CCC[C@@H]1CNC(=O)[C@H](O)C1CCC1)c1ccco1,pyrrole2furan_0000000033
CC(=O)N[C@@H](C)CN(C)C(=O)c1ccc(-c2ccccc2F)o1,pyrrole2furan_0000000034
O=C(Cc1ccns1)NC1CC(CNC(=O)c2ccco2)C1,pyrrole2furan_0000000035
C[C@@H]1CN(C(=O)Cc2cc3cc(Cl)ccc3o2)CCN1C(=O)CO,pyrrole2furan_0000000036
COC(=O)c1cc(CN2CCOCC2CC(F)F)oc1C(C)C,pyrrole2furan_0000000037
CC(C)(C)C(CNC(=O)C1(F)CC1)NC(=O)c1ccnc2ccoc12,pyrrole2furan_0000000038
Cc1csc(C(=O)N[C@H]2[C@@H]3CN(C(=O)c4ccoc4)C[C@@H]32)c1,pyrrole2furan_0000000039
Cc1n[nH]c(N)c1C(=O)N1CCCN(C(=O)c2ccoc2)[C@H](C)C1,pyrrole2furan_0000000040
CN(C)C1CCCC(OC(=O)c2cncc3occc23)C1,pyrrole2furan_0000000041
CC(CCc1noc(-c2ccc(C#N)o2)n1)NC(=O)OC(C)(C)C,pyrrole2furan_0000000042
COC(=O)c1cc(CNC(=O)NC23CCCC(C2)OC3)oc1C,pyrrole2furan_0000000043
