SMILES,ID
O=C(c1ccncn1)N1CC[C@H]2[C@H](CCN2C(=O)c2ccon2)C1,pyrrole2isoxazole_0000000001
c1cnoc1,pyrrole2isoxazole_0000000002
Fc1cc(Cl)c2conc2c1,pyrrole2isoxazole_0000000003
CC(C)(F)C(=O)NCC1CC1NC(=O)c1onc2ccccc12,pyrrole2isoxazole_0000000004
COc1ccc2noc(C(=O)N3C[C@H](OC)C[C@H](OC)C3)c2c1,pyrrole2isoxazole_0000000005
C[C@@]1(NC(=O)c2ccon2)CCN(C(=O)c2nccnc2O)C1,pyrrole2isoxazole_0000000006
O=C(c1ccon1)N1C[C@@H](O)[C@@H](O)CC2(CC2)C1,pyrrole2isoxazole_0000000007
CC(NC(=O)c1ccon1)C(C)NC(=O)c1ccnn(C)c1=O,pyrrole2isoxazole_0000000008
CC1(NC(=O)CC2CNC(=O)C2)CCN(C(=O)c2ccno2)CC1,pyrrole2isoxazole_0000000009
Cc1nocc1C(=O)N1CCC(C)(NC(=O)CC2CNC(=O)C2)CC1,pyrrole2isoxazole_0000000010
CO[C@@H]1C[C@H](OC(C)(C)C)CN(C(=O)c2ncnc3nocc23)C1,pyrrole2isoxazole_0000000011
O=C(CC1CCCC1)N1CCN(C(=O)c2ccno2)CC2(CC2)C1,pyrrole2isoxazole_0000000012
O=C(CC1CCCC1)N1CCN(C(=O)c2cnoc2)CC2(CC2)C1,pyrrole2isoxazole_0000000013
O=C(NC1CNC2(CCC2)C1)c1onc2ccc(Br)cc12,pyrrole2isoxazole_0000000014
O=C(NC[C@@H]1C[C@H]1NC(=O)[C@H]1CC1(F)F)c1nccc2conc12,pyrrole2isoxazole_0000000015
O=C(CCc1cscn1)N[C@@H]1CCN(C(=O)c2ccon2)C1,pyrrole2isoxazole_0000000016
Cc1cc(F)ccc1C(=O)NC[C@@H]1C[C@H]1CNC(=O)c1ccno1,pyrrole2isoxazole_0000000017
Cc1cc(F)ccc1C(=O)NC[C@@H]1C[C@H]1CNC(=O)c1cnoc1,pyrrole2isoxazole_0000000018
CN(C(=O)c1ccon1)[C@H]1CCCN(C(=O)c2ccnn2C)C1,pyrrole2isoxazole_0000000019
CC(C)NC(=O)N1CCC(C(=O)NCc2onc3ccccc23)CC1,pyrrole2isoxazole_0000000020
N#Cc1ccon1,pyrrole2isoxazole_0000000021
CC1(C(=O)N[C@H]2CC[C@H]2CNC(=O)c2ccon2)CCOCC1,pyrrole2isoxazole_0000000022
Cc1ccno1,pyrrole2isoxazole_0000000023
CCC(CN(C)C(=O)c1nocc1C)NC(=O)c1cnn(C)c1N,pyrrole2isoxazole_0000000024
CN(CC1CCCOC1c1ccccc1)C(=O)c1cnoc1,pyrrole2isoxazole_0000000025
CN(CC1CCCOC1c1ccccc1)C(=O)c1cc(C(N)=O)no1,pyrrole2isoxazole_0000000026
CCC(C)(C)c1cn([C@@H]2CCN(C(=O)c3ccon3)C[C@H]2O)nn1,pyrrole2isoxazole_0000000027
CN(C)S(=O)(=O)c1cnoc1,pyrrole2isoxazole_0000000028
CN(CC1(C)COC1)C(=O)c1cc(S(=O)(=O)N(C)C)on1,pyrrole2isoxazole_0000000029
c1cc2nocc2o1,pyrrole2isoxazole_0000000030
C[C@@H]1C[C@H]1C(=O)N1CCN(C(=O)c2ccon2)C(C2CCCC2)C1,pyrrole2isoxazole_0000000031
CCC1CN(C(=O)[C@@H]2CC[C@@H](O)C2)CCN1C(=O)c1cc(C)no1,pyrrole2isoxazole_0000000032
CCC1CN(C(=O)[C@@H]2CC[C@@H](O)C2)CCN1C(=O)c1conc1C,pyrrole2isoxazole_0000000033
Cc1cccc2c(CCC(=O)OC3CCCOC3=O)onc12,pyrrole2isoxazole_0000000034
C[C@H](CNC(=O)c1ccno1)CNC(=O)[C@@]12C[C@@H](C)[C@@H]1C2,pyrrole2isoxazole_0000000035
Cc1nocc1C(=O)NC[C@@H](C)CNC(=O)[C@@]12C[C@@H](C)[C@@H]1C2,pyrrole2isoxazole_0000000036
CCc1cc(C(=O)NCC2(NC(=O)c3ccon3)CC2)cc(=O)[nH]1,pyrrole2isoxazole_0000000037
Cc1cc(C(=O)N2CCN(C(=O)Cc3cnn(C4CC4)c3)CC2)no1,pyrrole2isoxazole_0000000038
Cc1cnoc1,pyrrole2isoxazole_0000000039
Cc1cccc(C(=O)N[C@@H]2C[C@H]2NC(=O)c2cc(C#N)on2)c1F,pyrrole2isoxazole_0000000040
N#Cc1cnoc1,pyrrole2isoxazole_0000000041
Cc1cc(C(=O)N[C@@H]2CN(C(=O)C3CN(C(N)=O)C3)C[C@H]2C)on1,pyrrole2isoxazole_0000000042
C[C@@H]1CN(C(=O)C2CN(C(N)=O)C2)C[C@H]1NC(=O)c1cnoc1,pyrrole2isoxazole_0000000043
O=C(N[C@H]1CCC[C@@H]1CNC(=O)[C@H](O)C1CCC1)c1ccon1,pyrrole2isoxazole_0000000044
Fc1ccccc1-c1ccon1,pyrrole2isoxazole_0000000045
CC(=O)N[C@@H](C)CN(C)C(=O)c1ccon1,pyrrole2isoxazole_0000000046
O=C(Cc1ccns1)NC1CC(CNC(=O)c2ccon2)C1,pyrrole2isoxazole_0000000047
Clc1ccc2nocc2c1,pyrrole2isoxazole_0000000048
COC(=O)c1conc1C(C)C,pyrrole2isoxazole_0000000049
COC(=O)c1cc(CN2CCOCC2CC(F)F)no1,pyrrole2isoxazole_0000000050
