SMILES,ID
C[C@@H](NC(=O)c1cnccn1)C1CCN(C(=O)c2ccns2)CC1,PV-000267465353
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2nccnc2O)C1,PV-007072107110
Nc1cnc(C(=O)NCC2(NC(=O)CC3CCCOCC3)CC2)cn1,PV-009018982551
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1nccnc1O,"""|&1:2"
Cc1cnc(NC(=O)c2cnc3n(c2=O)CCS3)cn1,Z4033144818
O=C(NCC12CCC(F)(CO1)C2)Nc1nccnc1O,Z7697665403
CC(C)(CNc1cncc(-n2cncn2)n1)CN1CCCC1,Z1840496316
CC1CC(CN)CC(C)N1C(=O)c1cccc2nccnc12,Z3134078277
COCCN1CCCC12CN(C(=O)Nc1ncc3nccnc3n1)C2,Z7764874621
CCCCC(=O)NC1CCN(C(=O)c2cnc(OC(C)C)cn2)CC1,Z1651227911
Cc1cnc(C(=O)N2CCCC(CNC(=O)[C@H]3CC3(C)C)C2)cn1,PV-000450497335
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2cnccn2)CCCC1,PV-003532813706
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3cncc(C)n3)C2)C1,"""|&1:9"
CC1(C)CCC(OC(=O)c2cncc(-n3ccnc3)n2)C1,Z3582957573
COC(=O)[C@@H]1CCC[C@@H]1NC(=O)c1cnc(-c2cnccn2)s1,"""|&1:4"
COCCn1cc(NC(=O)c2nccnc2C(=O)OC)ccc1=O,Z7579650286
Cc1nccnc1C(=O)NCC1CCCN1C(=O)[C@H]1C[C@@H](F)C1,PV-009059081303
COC(=O)c1nc(C(F)(F)F)cnc1NCc1ncc(F)cc1F,PV-009243435150
CC(Nc1nccc(C#N)c1Br)c1cnccn1,PV-006828036424
CC[C@@H]1[C@@H](C(=O)N(C)[C@@H](C)CNC(=O)c2nccnc2N)CCN1C,"""|&1:2"
Cc1cnc(CNC(=O)c2cnn(CC(C)C)c2C2CC2)cn1,Z3605785134
COC(=O)c1cncc(N2CCC3(CC2)COC(C)CN3)n1,Z5313783581
CC(C)CCc1ncc2c(n1)CCN(c1nccnc1N)C2,Z3396099549
CCOc1cnc(C(=O)N2CC[C@@H](C)[C@](C)(O)C2)cn1,"""|&1:12"
CC(C)(C#N)C(=O)NCC1(NC(=O)c2cnc3ccccc3n2)CC1,PV-005430366406
CCOc1cnc(C(=O)N2CCC(C3(O)CCOC3)CC2)cn1,Z5261542287
CC(C(=O)N[C@H]1CC[C@H]1CNC(=O)c1cnccn1)c1ncco1,"""|&1:5"
