SMILES,ID
C[C@H]1C[C@]1(C)C(=O)N1C2CCC1CN(C(=O)c1ccncc1N)CC2,PV-009413412445
CN(C)c1cc(CNC(=O)C2CCC3(CCOCC3)C2)ccn1,Z7599405083
Cn1cccc1C(=O)N1CC[C@@H]2CN(C(=O)c3ccncn3)CC[C@@H]21,"|&1:11,24|"
COc1cc(OC)c(OC)cc1CCNC(=O)NC1CC1,Z3246479328
Cn1cc(CC(=O)N2CCCCC2(C)C)c(C(F)(F)F)n1,Z4173182054
Cc1ccc(C(=O)N(CCNC(=O)C2CCC23CCC3)C(C)C)cn1,PV-003372265647
C[C@@H](NC(=O)c1cnccn1)C1CCN(C(=O)c2ccns2)CC1,PV-000267465353
Cn1nc(C(=O)NC2CC(CF)C2)cc1C(=O)NC1CC(CF)C1,Z5581354107
CC1CN(C(=O)Cn2cccnc2=O)CCCN1C(=O)CO,PV-003657201415
Cc1ccc(C(=O)NC[C@H](CO)NC(=O)c2cc(O)n(C)n2)c(C)c1,PV-003744232587
CC(C)CC(=O)N[C@H]1CC[C@H](NC(=O)c2cccn3ccnc23)C1,PV-009682363589
Cc1ccc(C2CCN(C(=O)c3cc4n(n3)CC(C)NC4)C2)c(C)c1,Z4060430819
O=C(c1ccc2c(c1)CNC2)N1CCCC(O)(C(=O)N2CCCC2)C1,Z4063477133
CC(=O)NCc1cccnc1CNC(=O)C1CC(C)(C)OC(C)(C)C1,PV-008924773078
Cc1cc(C)n(CC(C)NC(=O)N2CCOC(C#N)C2)n1,Z1142087097
CCn1cc(CC(=O)N2CCC[C@H]2CNC(=O)[C@@H]2C[C@H]2F)nn1,"|&1:17,19|"
CC(CC(=O)NC1(C)CCN(C(=O)c2nccn2C)C1)C(F)(F)F,PV-003018066745
Cc1ccnc(O)c1C(=O)NCC(C)N(C)C(=O)[C@H]1CCCCN1C,PV-002981878182
CC(=O)NCC1N(C(=O)COc2ccon2)CCCC1(C)C,PV-003000212273
C[C@@H](CS(N)(=O)=O)NC(=O)CCc1cccnc1,PV-002426112011
CCOc1cc(C(=O)NC(C)C(Cc2ccccc2)C(=O)O)ccn1,Z2296056839
COc1ccc2c(c1)CCC2C(=O)N[C@H](C)C1(O)CC1,Z5614120291
C[C@]1(NC(=O)c2cnco2)C[C@@H](NC(=O)C2C3CCCC32)C1,PV-008584829535
CCc1cc(C#N)c(NC(=O)c2ccc(S(C)(=O)=O)cc2)s1,Z740806316
CCOC(=O)c1cnn(C2CCN(CC(C)O)CC2)c1C,Z2069770328
CC1(CCC(=O)OCc2cnco2)CN(C(=O)OC(C)(C)C)C1,Z4148226360
Cc1cc(C(=O)N(C)CC(O)CF)nn1-c1ccc(F)cc1F,Z3593938236
CC(C)(O)c1cnc(NC(=O)COCC2CCC2)s1,Z3944024883
Cc1nc(C(C)NS(=O)(=O)Cc2ccccc2Cl)no1,Z1556606519
O=C(NCC1C2CNCC21)c1cc2c(Cl)cc(F)cc2[nH]1,Z4207966388
CC(C)n1ccc(C(=O)NC[C@H]2C[C@@H](NC(=O)C3CC3F)C2)cc1=O,PV-002742770617
Cc1ccc(C(=O)N[C@H]2CCN(C(=O)CC3CCC(=O)N3)C2)c(O)c1,PV-002998244159
Cc1cc(O)ccc1C(C)NC(=O)c1ccc2c(c1)CCS2(=O)=O,Z5430192457
O=C(NCc1ccc(OC(F)F)cc1)N1CC[C@@H](CO)C1,Z1781337199
Cc1nocc1C(=O)CN1CCCN(S(=O)(=O)C2CC2)CC1,Z7281320479
CC(=O)NC(C)C(=O)NC1CCN(C(=O)c2ccccc2)C1(C)C,PV-003030415017
NC(=O)NC(=O)CCNC(=O)C1CCc2ncncc2C1,Z2455887955
COCc1cccc(C(=O)N2CC[C@@H]3OCCO[C@H]3C2)c1,"|&1:13,18|"
COc1cc(CC(N)=O)c(-c2ccc(F)cc2F)cc1OC,PV-007253572632
CC1=NOC(C(=O)NCC2CCN2C(=O)c2ccc(C#N)c(C)c2)C1,PV-009412174520
CC(C)(O)C(=O)NC1CC(NC(=O)c2coc(C(C)(C)C)n2)C1,PV-008063377237
CC1(NC(=O)C2CCCC2)CN(C(=O)c2ccc3cccnc3n2)C1,PV-002723218232
CC(=O)OCC(=O)NC1CC(NC(=O)c2cccc(=O)[nH]2)C12CCC2,PV-003238099520
