SMILES,ID
CC(CC(=O)NC1(C)CCN(C(=O)c2ncco2)C1)C(F)(F)F,PV-003018066745
CC(Cc1ncco1)NC(C)c1ccc2c(c1)CNC(=O)CC2,Z3508626843
CN(Cc1cnc(Cl)o1)C(CO)CC(C)(C)C,Z2507242018
COC(C)(C)C1(C(=O)NCC2CCN2C(=O)c2cnco2)CC1,PV-009455341034
Cc1nc(S(=O)(=O)NCCC(=O)OCc2ccnn2C)co1,Z1482025416
CC(CNC(=O)c1cccc2c1CCC(=O)N2)NC(=O)c1cnco1,PV-002845081848
Cc1ncc(C(=O)NC2CN(C(=O)CCc3cocn3)CC2(C)C)o1,PV-002969946046
CCc1ncoc1C(=O)N[C@@H]1CCC[C@@H]1NC(=O)Cc1ncco1,PV-003878242952
CO[C@@H](C)C(=O)N1CC[C@H](N2CCN(C(=O)Cc3cnco3)CC2)C1,PV-009811206952
Cc1ncoc1C(=O)NCC[C@H]1CCCN1C(=O)c1ncoc1C,PV-001544852549
CC1CN(Cc2nc3cc(Br)ccc3o2)CCN1,Z2875889360
CCC(CNS(=O)(=O)c1coc(C(C)C)n1)C(=O)O,Z1738543301
NC(=O)c1cccc(OCC(=O)N2CC(c3cnco3)C2)c1,PV-003568023263
Cc1cnco1,PV-005160295046
CNC(=O)c1cc([C@H](C)NC(=O)Cc2ncoc2C)ccc1OC,Z6121875432
Cc1ocnc1CC(=O)NC[C@@H](C)NC(=O)[C@@H]1C[C@@H]2CCC[C@@H](C2)C1,PV-003387659802
Cc1nc(NC(=O)CNC(=O)c2cccc(F)c2)oc1C,Z1989187227
O=C(Cc1cnco1)NCC[C@H]1CCCN(C(=O)C2OCCO2)C1,PV-005647048114
CCC(C)(O)C(=O)N[C@H]1CN(C(=O)c2cccc3ocnc23)C[C@H]1C,PV-002746513992
Cn1cc2c(n1)CC(C(=O)N1CC(F)(c3ncco3)C1)CC2,Z4129835806
Cc1coc(CC(=O)N2CC(CCNC(=O)C3CC3(C)C)C2)n1,PV-009809853147
N#CC1(C(=O)N2CCCCC(NC(=O)Cc3ncco3)CC2)CC1,PV-003882163535
O=S(=O)(c1cnsc1)N1CC(c2ncco2)C1,Z4278431320
Cc1coc(CC(=O)NCCc2cnn3c2CCCC3)n1,Z6254777867
O=C(Cc1cnco1)N[C@@H]1CCN(C(=O)C2CC3CC3C2)C[C@H]1CO,"""""""|&1:9"""
CC(=O)NC(C)C(=O)N1CC[C@H](NC(=O)c2cocn2)C[C@H]1C,"""""""|&1:11"""
c1nc(CN2CCC(OCC3CC3)CC2)co1,Z3525185265
Cc1nc(CC(=O)N2CCN(C(=O)Cc3cscn3)CC2C)co1,PV-003878956870
O=C(c1c(F)ccc2ocnc12)N1CCC(O)C2(CCOCC2)C1,Z3646942613
CC(Cc1cnco1)C(=O)N1CCC1CNC(=O)c1ccccc1F,PV-000533607581
Cc1nc(C(=O)NC[C@]2(C)CN(C(=O)c3cnco3)C[C@H]2C)n[nH]1,"""""""|&1:8"""
Cc1ocnc1C(=O)N[C@H]1CCN(C(=O)C[C@@H]2C[C@H]2C2CC2)[C@@H]1C,"""""""|&1:6"""
Cc1ccc(CCNC(=O)NCc2cnco2)cc1O,Z3700404082
CC(=O)CC1COCCN1Cc1nc2c(F)c(F)ccc2o1,Z7280665082
Cc1ccc(CC(=O)NC(Cc2ncco2)C(F)F)cc1Cl,Z6032731290
