SMILES,ID
C[C@@H](NC(=O)c1c[nH]cn1)C1CCN(C(=O)c2ccns2)CC1,PV-000267465353
C[C@@H](NC(=O)c1ncc[nH]1)C1CCN(C(=O)c2ccns2)CC1,PV-000267465353
C[C@@H](NC(=O)c1cnc[nH]1)C1CCN(C(=O)c2ccns2)CC1,PV-000267465353
c1c[nH]cn1,PV-000267465353
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2c[nH]cn2)C1,PV-007072107110
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2cnc(O)[nH]2)C1,PV-007072107110
Oc1c[nH]cn1,PV-007072107110
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2ncc(O)[nH]2)C1,PV-007072107110
Nc1[nH]cnc1C(=O)NCC1(NC(=O)CC2CCCOCC2)CC1,PV-009018982551
Nc1nc[nH]c1C(=O)NCC1(NC(=O)CC2CCCOCC2)CC1,PV-009018982551
O=C(CC1CCCOCC1)NC1(CNC(=O)c2ncc[nH]2)CC1,PV-009018982551
Nc1ncc[nH]1,PV-009018982551
Oc1c[nH]cn1,"""""""|&1:2"""
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1c[nH]cn1,"""""""|&1:2"""
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1ncc(O)[nH]1,"""""""|&1:2"""
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1cnc(O)[nH]1,"""""""|&1:2"""
Cc1[nH]cnc1NC(=O)c1cnc2n(c1=O)CCS2,Z4033144818
Cc1nc[nH]c1NC(=O)c1cnc2n(c1=O)CCS2,Z4033144818
O=C(Nc1ncc[nH]1)c1cnc2n(c1=O)CCS2,Z4033144818
Cc1ncc[nH]1,Z4033144818
O=C(NCC12CCC(F)(CO1)C2)Nc1cnc(O)[nH]1,Z7697665403
O=C(NCC12CCC(F)(CO1)C2)Nc1c[nH]cn1,Z7697665403
Oc1c[nH]cn1,Z7697665403
O=C(NCC12CCC(F)(CO1)C2)Nc1ncc(O)[nH]1,Z7697665403
CC(C)(CNc1c[nH]c(-n2cncn2)n1)CN1CCCC1,Z1840496316
c1ncn(-c2cnc[nH]2)n1,Z1840496316
CC(C)(CNc1nc(-n2cncn2)c[nH]1)CN1CCCC1,Z1840496316
CC(C)(CNc1cnc[nH]1)CN1CCCC1,Z1840496316
CC1CC(CN)CC(C)N1C(=O)C1=c2cnc([nH]2)=CC=C1,Z3134078277
CC1CC(CN)CC(C)N1C(=O)C1=c2ncc([nH]2)=CC=C1,Z3134078277
COCCN1CCCC12CN(C(=O)NC1=NC=c3ncc([nH]3)=N1)C2,Z7764874621
COCCN1CCCC12CN(C(=O)NC1=NC=c3cnc([nH]3)=N1)C2,Z7764874621
CC(C)Oc1ncc[nH]1,Z1651227911
CCCCC(=O)NC1CCN(C(=O)c2nc[nH]c2OC(C)C)CC1,Z1651227911
CCCCC(=O)NC1CCN(C(=O)c2ncc[nH]2)CC1,Z1651227911
CCCCC(=O)NC1CCN(C(=O)c2[nH]cnc2OC(C)C)CC1,Z1651227911
Cc1ncc[nH]1,PV-000450497335
CC1(C)C[C@@H]1C(=O)NCC1CCCN(C(=O)c2ncc[nH]2)C1,PV-000450497335
Cc1[nH]cnc1C(=O)N1CCCC(CNC(=O)[C@H]2CC2(C)C)C1,PV-000450497335
Cc1nc[nH]c1C(=O)N1CCCC(CNC(=O)[C@H]2CC2(C)C)C1,PV-000450497335
c1c[nH]cn1,PV-003532813706
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2ncc[nH]2)CCCC1,PV-003532813706
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2cnc[nH]2)CCCC1,PV-003532813706
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2c[nH]cn2)CCCC1,PV-003532813706
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3c[nH]c(C)n3)C2)C1,"""""""|&1:9"""
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3nc(C)c[nH]3)C2)C1,"""""""|&1:9"""
Cc1cnc[nH]1,"""""""|&1:9"""
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3cnc[nH]3)C2)C1,"""""""|&1:9"""
CC1(C)CCC(OC(=O)c2c[nH]c(-n3ccnc3)n2)C1,Z3582957573
c1cn(-c2cnc[nH]2)cn1,Z3582957573
CC1(C)CCC(OC(=O)c2nc(-n3ccnc3)c[nH]2)C1,Z3582957573
CC1(C)CCC(OC(=O)c2cnc[nH]2)C1,Z3582957573
COC(=O)[C@@H]1CCC[C@@H]1NC(=O)c1cnc(-c2ncc[nH]2)s1,"""""""|&1:4"""
COC(=O)[C@@H]1CCC[C@@H]1NC(=O)c1cnc(-c2c[nH]cn2)s1,"""""""|&1:4"""
c1c[nH]cn1,"""""""|&1:4"""
COC(=O)[C@@H]1CCC[C@@H]1NC(=O)c1cnc(-c2cnc[nH]2)s1,"""""""|&1:4"""
COCCn1cc(NC(=O)c2cnc(C(=O)OC)[nH]2)ccc1=O,Z7579650286
COCCn1cc(NC(=O)c2ncc(C(=O)OC)[nH]2)ccc1=O,Z7579650286
COC(=O)c1c[nH]cn1,Z7579650286
COCCn1cc(NC(=O)c2c[nH]cn2)ccc1=O,Z7579650286
O=C(NCC1CCCN1C(=O)[C@H]1C[C@@H](F)C1)c1c[nH]cn1,PV-009059081303
Cc1ncc(C(=O)NCC2CCCN2C(=O)[C@H]2C[C@@H](F)C2)[nH]1,PV-009059081303
Cc1cnc(C(=O)NCC2CCCN2C(=O)[C@H]2C[C@@H](F)C2)[nH]1,PV-009059081303
Cc1c[nH]cn1,PV-009059081303
Fc1cnc(CNc2nc[nH]c2C(F)(F)F)c(F)c1,PV-009243435150
COC(=O)c1c[nH]c(C(F)(F)F)n1,PV-009243435150
COC(=O)c1nc(C(F)(F)F)c(NCc2ncc(F)cc2F)[nH]1,PV-009243435150
COC(=O)c1cnc(NCc2ncc(F)cc2F)[nH]1,PV-009243435150
c1c[nH]cn1,PV-006828036424
CC(Nc1nccc(C#N)c1Br)c1cnc[nH]1,PV-006828036424
CC(Nc1nccc(C#N)c1Br)c1ncc[nH]1,PV-006828036424
CC(Nc1nccc(C#N)c1Br)c1c[nH]cn1,PV-006828036424
Nc1c[nH]cn1,"""""""|&1:2"""
CC[C@@H]1[C@@H](C(=O)N(C)[C@@H](C)CNC(=O)c2ncc(N)[nH]2)CCN1C,"""""""|&1:2"""
CC[C@@H]1[C@@H](C(=O)N(C)[C@@H](C)CNC(=O)c2c[nH]cn2)CCN1C,"""""""|&1:2"""
CC[C@@H]1[C@@H](C(=O)N(C)[C@@H](C)CNC(=O)c2cnc(N)[nH]2)CCN1C,"""""""|&1:2"""
Cc1[nH]cnc1CNC(=O)c1cnn(CC(C)C)c1C1CC1,Z3605785134
CC(C)Cn1ncc(C(=O)NCc2ncc[nH]2)c1C1CC1,Z3605785134
Cc1nc[nH]c1CNC(=O)c1cnn(CC(C)C)c1C1CC1,Z3605785134
Cc1ncc[nH]1,Z3605785134
COC(=O)c1c[nH]c(N2CCC3(CC2)COC(C)CN3)n1,Z5313783581
CC1CNC2(CCN(c3cnc[nH]3)CC2)CO1,Z5313783581
COC(=O)c1nc(N2CCC3(CC2)COC(C)CN3)c[nH]1,Z5313783581
COC(=O)c1cnc[nH]1,Z5313783581
CC(C)CCc1ncc2c(n1)CCN(c1ncc(N)[nH]1)C2,Z3396099549
CC(C)CCc1ncc2c(n1)CCN(c1c[nH]cn1)C2,Z3396099549
CC(C)CCc1ncc2c(n1)CCN(c1cnc(N)[nH]1)C2,Z3396099549
Nc1c[nH]cn1,Z3396099549
C[C@@H]1CCN(C(=O)c2ncc[nH]2)C[C@@]1(C)O,"""""""|&1:12"""
CCOc1nc[nH]c1C(=O)N1CC[C@@H](C)[C@](C)(O)C1,"""""""|&1:12"""
CCOc1ncc[nH]1,"""""""|&1:12"""
CCOc1[nH]cnc1C(=O)N1CC[C@@H](C)[C@](C)(O)C1,"""""""|&1:12"""
C1=CC=c2ncc([nH]2)=C1,PV-005430366406
CC(C)(C#N)C(=O)NCC1(NC(=O)c2nc3[nH]c2=CC=CC=3)CC1,PV-005430366406
CCOc1nc[nH]c1C(=O)N1CCC(C2(O)CCOC2)CC1,Z5261542287
O=C(c1ncc[nH]1)N1CCC(C2(O)CCOC2)CC1,Z5261542287
CCOc1ncc[nH]1,Z5261542287
CCOc1[nH]cnc1C(=O)N1CCC(C2(O)CCOC2)CC1,Z5261542287
c1c[nH]cn1,"""""""|&1:5"""
CC(C(=O)N[C@H]1CC[C@H]1CNC(=O)c1c[nH]cn1)c1ncco1,"""""""|&1:5"""
CC(C(=O)N[C@H]1CC[C@H]1CNC(=O)c1cnc[nH]1)c1ncco1,"""""""|&1:5"""
CC(C(=O)N[C@H]1CC[C@H]1CNC(=O)c1ncc[nH]1)c1ncco1,"""""""|&1:5"""
O=C(NC1=c2ncc([nH]2)=CC=C1)N1C[C@@H](O)[C@@H](O)CC2(CC2)C1,"""""""|&1:15"""
O=C(NC1=c2cnc([nH]2)=CC=C1)N1C[C@@H](O)[C@@H](O)CC2(CC2)C1,"""""""|&1:15"""
NC1CCN(C(=O)c2ncc[nH]2)C1,Z4409830868
COc1cc(-c2nc[nH]c2C(=O)N2CCC(N)C2)cc(C)n1,Z4409830868
COc1cc(-c2ncc[nH]2)cc(C)n1,Z4409830868
COc1cc(-c2[nH]cnc2C(=O)N2CCC(N)C2)cc(C)n1,Z4409830868
O=C(Nc1c[nH]cn1)N1CCN(C2CCOCC2)C(=O)C1,Z3599731791
Cc1c[nH]cn1,Z3599731791
Cc1ncc(NC(=O)N2CCN(C3CCOCC3)C(=O)C2)[nH]1,Z3599731791
Cc1cnc(NC(=O)N2CCN(C3CCOCC3)C(=O)C2)[nH]1,Z3599731791
O=C(NC1CCCN(c2cnc[nH]2)C1)c1ncccc1C(F)F,Z6447420607
c1c[nH]cn1,Z6447420607
O=C(NC1CCCN(c2ncc[nH]2)C1)c1ncccc1C(F)F,Z6447420607
O=C(NC1CCCN(c2c[nH]cn2)C1)c1ncccc1C(F)F,Z6447420607
Cc1c[nH]cn1,PV-002779838349
Cc1ncc(C(=O)N2CCCC(NC(=O)CCC3CC3)CC2)[nH]1,PV-002779838349
O=C(CCC1CC1)NC1CCCN(C(=O)c2c[nH]cn2)CC1,PV-002779838349
Cc1cnc(C(=O)N2CCCC(NC(=O)CCC3CC3)CC2)[nH]1,PV-002779838349
CC1Cc2cc([C@H](C)NC(=O)c3c[nH]c(N)n3)ccc2O1,Z4242297013
Nc1cnc[nH]1,Z4242297013
CC1Cc2cc([C@H](C)NC(=O)c3nc(N)c[nH]3)ccc2O1,Z4242297013
CC1Cc2cc([C@H](C)NC(=O)c3cnc[nH]3)ccc2O1,Z4242297013
CCC(C)(C#N)C(=O)N1C[C@@H]2C[C@H]1[C@@H]2NC(=O)c1ncc[nH]1,"""""""|&1:10"""
CCC(C)(C#N)C(=O)N1C[C@@H]2C[C@H]1[C@@H]2NC(=O)c1cnc[nH]1,"""""""|&1:10"""
CCC(C)(C#N)C(=O)N1C[C@@H]2C[C@H]1[C@@H]2NC(=O)c1c[nH]cn1,"""""""|&1:10"""
c1c[nH]cn1,"""""""|&1:10"""
COCC1CCN(c2ncc[nH]2)CC1,Z3647352649
COCC1CCN(c2nc[nH]c2OC(F)(F)F)CC1,Z3647352649
COCC1CCN(c2[nH]cnc2OC(F)(F)F)CC1,Z3647352649
FC(F)(F)Oc1ncc[nH]1,Z3647352649
