SMILES,ID
C[C@@H](NC(=O)c1ncccn1)C1CCN(C(=O)c2ccns2)CC1,PV-000267465353
C[C@@H](NC(=O)c1cncnc1)C1CCN(C(=O)c2ccns2)CC1,PV-000267465353
C[C@@H](NC(=O)c1ccncn1)C1CCN(C(=O)c2ccns2)CC1,PV-000267465353
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2ccnc(O)n2)C1,PV-007072107110
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2cncnc2O)C1,PV-007072107110
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2ncncc2O)C1,PV-007072107110
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2nccc(O)n2)C1,PV-007072107110
Nc1ncc(C(=O)NCC2(NC(=O)CC3CCCOCC3)CC2)cn1,PV-009018982551
Nc1cnc(C(=O)NCC2(NC(=O)CC3CCCOCC3)CC2)nc1,PV-009018982551
Nc1cc(C(=O)NCC2(NC(=O)CC3CCCOCC3)CC2)ncn1,PV-009018982551
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1ccnc(O)n1,"""""""|&1:2"""
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1cncnc1O,"""""""|&1:2"""
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1nccc(O)n1,"""""""|&1:2"""
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1ncncc1O,"""""""|&1:2"""
Cc1ncc(NC(=O)c2cnc3n(c2=O)CCS3)cn1,Z4033144818
Cc1cnc(NC(=O)c2cnc3n(c2=O)CCS3)nc1,Z4033144818
Cc1cc(NC(=O)c2cnc3n(c2=O)CCS3)ncn1,Z4033144818
O=C(NCC12CCC(F)(CO1)C2)Nc1ccnc(O)n1,Z7697665403
O=C(NCC12CCC(F)(CO1)C2)Nc1nccc(O)n1,Z7697665403
O=C(NCC12CCC(F)(CO1)C2)Nc1ncncc1O,Z7697665403
O=C(NCC12CCC(F)(CO1)C2)Nc1cncnc1O,Z7697665403
CC(C)(CNc1ncncc1-n1cncn1)CN1CCCC1,Z1840496316
CC(C)(CNc1cncnc1-n1cncn1)CN1CCCC1,Z1840496316
CC(C)(CNc1nccc(-n2cncn2)n1)CN1CCCC1,Z1840496316
CC(C)(CNc1ccnc(-n2cncn2)n1)CN1CCCC1,Z1840496316
CC1CC(CN)CC(C)N1C(=O)C1=CC=Cc2nccc1n2,Z3134078277
CC1CC(CN)CC(C)N1C(=O)c1cccc2cncnc12,Z3134078277
CC1CC(CN)CC(C)N1C(=O)C1=CC=Cc2ccnc1n2,Z3134078277
CC1CC(CN)CC(C)N1C(=O)c1cccc2ncncc12,Z3134078277
COCCN1CCCC12CN(C(=O)NC1=Nc3nccc(n3)C=N1)C2,Z7764874621
COCCN1CCCC12CN(C(=O)Nc1ncc3ncncc3n1)C2,Z7764874621
COCCN1CCCC12CN(C(=O)NC1=Nc3ccnc(n3)C=N1)C2,Z7764874621
COCCN1CCCC12CN(C(=O)Nc1ncc3cncnc3n1)C2,Z7764874621
CCCCC(=O)NC1CCN(C(=O)c2ncc(OC(C)C)cn2)CC1,Z1651227911
CCCCC(=O)NC1CCN(C(=O)c2cnc(OC(C)C)nc2)CC1,Z1651227911
CCCCC(=O)NC1CCN(C(=O)c2cc(OC(C)C)ncn2)CC1,Z1651227911
Cc1cnc(C(=O)N2CCCC(CNC(=O)[C@H]3CC3(C)C)C2)nc1,PV-000450497335
Cc1cc(C(=O)N2CCCC(CNC(=O)[C@H]3CC3(C)C)C2)ncn1,PV-000450497335
Cc1ncc(C(=O)N2CCCC(CNC(=O)[C@H]3CC3(C)C)C2)cn1,PV-000450497335
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2cncnc2)CCCC1,PV-003532813706
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2ncccn2)CCCC1,PV-003532813706
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2ccncn2)CCCC1,PV-003532813706
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3nccc(C)n3)C2)C1,"""""""|&1:9"""
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3ncncc3C)C2)C1,"""""""|&1:9"""
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3cncnc3C)C2)C1,"""""""|&1:9"""
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3ccnc(C)n3)C2)C1,"""""""|&1:9"""
CC1(C)CCC(OC(=O)c2ccnc(-n3ccnc3)n2)C1,Z3582957573
CC1(C)CCC(OC(=O)c2ncncc2-n2ccnc2)C1,Z3582957573
CC1(C)CCC(OC(=O)c2cncnc2-n2ccnc2)C1,Z3582957573
CC1(C)CCC(OC(=O)c2nccc(-n3ccnc3)n2)C1,Z3582957573
COC(=O)[C@@H]1CCC[C@@H]1NC(=O)c1cnc(-c2ccncn2)s1,"""""""|&1:4"""
COC(=O)[C@@H]1CCC[C@@H]1NC(=O)c1cnc(-c2ncccn2)s1,"""""""|&1:4"""
COC(=O)[C@@H]1CCC[C@@H]1NC(=O)c1cnc(-c2cncnc2)s1,"""""""|&1:4"""
COCCn1cc(NC(=O)c2nccc(C(=O)OC)n2)ccc1=O,Z7579650286
COCCn1cc(NC(=O)c2ncncc2C(=O)OC)ccc1=O,Z7579650286
COCCn1cc(NC(=O)c2cncnc2C(=O)OC)ccc1=O,Z7579650286
COCCn1cc(NC(=O)c2ccnc(C(=O)OC)n2)ccc1=O,Z7579650286
Cc1ncncc1C(=O)NCC1CCCN1C(=O)[C@H]1C[C@@H](F)C1,PV-009059081303
Cc1nccc(C(=O)NCC2CCCN2C(=O)[C@H]2C[C@@H](F)C2)n1,PV-009059081303
Cc1ccnc(C(=O)NCC2CCCN2C(=O)[C@H]2C[C@@H](F)C2)n1,PV-009059081303
Cc1cncnc1C(=O)NCC1CCCN1C(=O)[C@H]1C[C@@H](F)C1,PV-009059081303
COC(=O)c1nc(C(F)(F)F)ncc1NCc1ncc(F)cc1F,PV-009243435150
COC(=O)c1nc(NCc2ncc(F)cc2F)cc(C(F)(F)F)n1,PV-009243435150
COC(=O)c1c(NCc2ncc(F)cc2F)ncnc1C(F)(F)F,PV-009243435150
COC(=O)c1nc(NCc2ncc(F)cc2F)ncc1C(F)(F)F,PV-009243435150
CC(Nc1nccc(C#N)c1Br)c1cncnc1,PV-006828036424
CC(Nc1nccc(C#N)c1Br)c1ncccn1,PV-006828036424
CC(Nc1nccc(C#N)c1Br)c1ccncn1,PV-006828036424
CC[C@@H]1[C@@H](C(=O)N(C)[C@@H](C)CNC(=O)c2ncncc2N)CCN1C,"""""""|&1:2"""
CC[C@@H]1[C@@H](C(=O)N(C)[C@@H](C)CNC(=O)c2ccnc(N)n2)CCN1C,"""""""|&1:2"""
