SMILES,ID
CC1(C)CCCCN1C(=O)Cc1csc(C(F)(F)F)n1,Z4173182054
O=C(NC1CC(CF)C1)c1cnc(C(=O)NC2CC(CF)C2)s1,Z5581354107
Cc1ccc(C(=O)NC[C@H](CO)NC(=O)c2ncc(O)s2)c(C)c1,PV-003744232587
Cc1cnc(C)s1,Z1142087097
Cc1nc(-c2noc(CCNC(=O)CC(C)C)n2)cs1,Z2879457051
Cc1cscn1,Z5388830667
COC(c1ccc(Cl)cc1)C(C)NC(=O)c1ncc(C(=O)O)s1,PV-002756737639
COc1ncc(C)cc1NC(=O)Nc1csc(C)n1,PV-009431587561
CC1=C(C(=O)N(C)C[C@H](C)NC(=O)c2cnc(C3CC3)s2)CCO1,PV-005390903140
O=C(NC[C@@H]1CCO[C@H]1c1cncs1)N1CC(CO)C1,"""""""|&1:6"""
Cc1nc(S(=O)(=O)NCCC(=O)OCc2cncs2)cn1C,Z1482025416
Cc1cscn1,PV-006148641173
O=C(N[C@@H](CO)c1ccccc1)c1ncsc1C1CCC1,Z5623015698
Clc1cccnc1N1CCC(NCc2cncs2)C1,Z1949729604
CO[C@@H]1C[C@H]1C(=O)N[C@H]1CN(C(=O)c2sc(C)nc2Cl)C[C@H]1C,"""""""|&1:2"""
O=C(Cc1cscn1)NCC1(NC(=O)C2COCCO2)CC1,PV-002780658542
Cc1cccc(CC(NC(=O)c2nc(C)sc2C)C2CCCO2)c1,Z4353160384
CO[C@@H]1C[C@H](CS(C)(=O)=O)N(C(=O)C(C)Cc2cscn2)C1,Z5052995201
COC(=O)CC[C@@H](C)NC(=O)c1ccc2sc(C)nc2c1,Z5496081385
CC(C)(C(=O)N1CCCC2(CC1)CNC(=O)O2)c1nccs1,Z6120998947
COc1cnc(C(=O)N[C@H]2C[C@H]2NC(=O)C(C)(O)C(C)C)s1,"""""""|&1:8"""
N#CC1CS(=O)(=NC(=O)c2ccc3scnc3c2)C1,Z5441239788
CN(C(=O)c1ccc[nH]1)[C@H]1CCCN(C(=O)c2cncs2)C1,PV-003691274578
O=C(N[C@H]1C[C@H](NC(=O)C(F)(F)c2cccnc2)C1)c1cscn1,PV-002835619698
Cc1cccc(C)c1C1(C(=O)Nc2cscn2)CC1,Z6431429212
CCCC(C)C(=O)N[C@H]1CCN(C(=O)c2csc(O)n2)[C@@H]1CC,"""""""|&1:8"""
CCn1cnnc1CNS(=O)(=O)c1csc(C)n1,Z2095992679
COC(COc1ccccc1)C(=O)N1CC(Oc2cscn2)C1,Z5457916493
CCC(F)(F)C(C)(C)C(=O)N1C[C@@H](C)[C@@H](NC(=O)c2nccs2)C1,"""""""|&1:12"""
Cc1cc(C(=O)NCC2CN(C(=O)c3ncc(C)s3)C2)cs1,PV-003005027140
CCC(CN(C)C(=O)c1c(C)ccn1C)NC(=O)c1ncsc1N,PV-008659978185
Cc1csc(C(=O)N2CCN(C(=O)C3COCCO3)[C@@H](C)C2)n1,PV-002746321431
Cc1nc(CC(=O)N2CCC3CC2CN(C(=O)[C@@H]2C[C@@H]2F)C3)c(C)s1,PV-003174902726
N#CC1(CNC(=O)CNC[C@@H]2CCO[C@H]2c2cscn2)CC1,"""""""|&1:4"""
O=C(O)c1csc(NC(=O)C(F)(F)c2c(F)cccc2F)n1,PV-008161552001
C[C@@H](NC(=O)[C@H]1CC1(C)C)[C@@H](CO)NC(=O)c1ccc2scnc2n1,PV-003902851124
NC(=O)N1CC(C(=O)N2C3CCC2c2ncsc2C3)C1,Z4100543671
CC(C)c1nc(CN2CCC(N3CCNCC3)C2)cs1,Z2445109810
Cc1nc(S(=O)(=O)N2C[C@H](O)C[C@@H]2C(=O)O)c(C)s1,Z1739123843
CN1C(=O)C[C@H](Nc2ccc(C#N)cc2F)[C@H]1c1cncs1,"""""""|&1:5"""
O=C(NCc1nccs1)[C@@H]1COC[C@H]1C(F)F,"""""""|&1:13"""
CCc1scnc1C(=O)NC[C@@H](C)NC(=O)C12CCC(CC1)OC2,PV-003869700002
O=C(NC[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H]2C[C@@H]2C1)c1cnc(F)s1,PV-003677567089
CCC(C)C(=O)N[C@]12CO[C@H](C1)[C@H](NC(=O)Cc1nccs1)C2,"""""""|&1:7"""
c1csc(C2CC2)n1,PV-005079367035
CSCC(=O)N1CCCC(CCNC(=O)c2nccs2)C1,PV-001535046421
CCC(=O)NC1CCN(C(=O)c2cnc(C)s2)C(C)C1,PV-002848184300
Cc1ccc(C(O)CCN(C)C(=O)c2ncc(N)s2)s1,Z3799567538
CC(C)=C(F)CNc1nc(N)c2ncsc2n1,Z4234252660
CC(C)(C(=O)N1CC(NC(=O)C2CCc3ncsc3C2)C1)C1CCC1,PV-000491737892
CC(C)C(=O)NC(C)(C)C(C)NC(=O)c1ccc2scnc2c1F,PV-010098592694
Cc1nc(CC(=O)N2C[C@@H]3[C@H](C2)[C@H]3NC(=O)[C@@H](O)CC2CC2)cs1,PV-008958964725
O=C1CC(C(=O)N[C@@H]2CC[C@H]2NC(=O)c2scnc2Cl)CCN1,"""""""|&1:7"""
Cc1nc(C(=O)NC2CC(NC(=O)C(C)C#N)C2)c(C)s1,PV-010064147741
CC(O)C(=O)N[C@@H]1CN(C(=O)c2csc(C(C)(C)C)n2)C[C@@H]1O,"""""""|&1:6"""
Cn1ccnc1C1(F)CN(C(=O)C2CCc3csc(n3)C2)C1,Z4129835806
Cc1nc(C(=O)N[C@@H]2CCC[C@@H]2n2cnnc2)cs1,"""""""|&1:13"""
CC(C)NC(=O)CNC(=O)Nc1cnc(Cc2ccccc2)s1,Z3844790322
