SMILES,ID
CCOC1CCN(C(=O)c2nccc(N3CCNCC3)n2)CC1C,Z6393879165
CCOC1CCN(C(=O)c2ccnc(N3CCNCC3)n2)CC1C,Z6393879165
OCc1ccnc(NCC(O)COc2ccc(C(F)(F)F)cc2)n1,Z3556582701
OCc1nccc(NCC(O)COc2ccc(C(F)(F)F)cc2)n1,Z3556582701
CNc1ncncc1C(=O)NCCc1nc(C)cs1,Z7585392882
CNc1cncnc1C(=O)NCCc1nc(C)cs1,Z7585392882
Cc1ccnc(C(=O)N2C[C@@H](NC(=O)CCC(C)(C)C)C[C@H]2CO)n1,PV-005742543980
Cc1cncnc1C(=O)N1C[C@@H](NC(=O)CCC(C)(C)C)C[C@H]1CO,PV-005742543980
Cc1ccccc1N1CCN(C(=O)c2ccncn2)CC1,Z2697679812
Cc1ccccc1N1CCN(C(=O)c2ncccn2)CC1,Z2697679812
O=C(C[C@H]1CCCO1)N[C@@H]1CCCC[C@H]1NC(=O)c1ccncn1,PV-009844629225
O=C(C[C@H]1CCCO1)N[C@@H]1CCCC[C@H]1NC(=O)c1ncccn1,PV-009844629225
Cc1cncnc1C(=O)NC[C@H]1CN(C(=O)[C@@]23C[C@@H](F)[C@@H]2C3)CCO1,"""""""|&1:16"""
Cc1ncncc1C(=O)NC[C@H]1CN(C(=O)[C@@]23C[C@@H](F)[C@@H]2C3)CCO1,"""""""|&1:16"""
O=C(Nc1cc2nc(n1)C=CC=C2)N1CC[C@@H]2OCCO[C@H]2C1,"""""""|&1:16"""
O=C(Nc1ncc2ccccc2n1)N1CC[C@@H]2OCCO[C@H]2C1,"""""""|&1:16"""
COCCN(C(=O)c1ccncn1)C1CCS(=O)(=O)C1,Z2703860457
COCCN(C(=O)c1ncccn1)C1CCS(=O)(=O)C1,Z2703860457
FC(F)(F)C1CN(c2cc3nc(n2)-c2ccccc2OC3)CCO1,Z2969859575
FC(F)(F)C1CN(c2ncc3c(n2)-c2ccccc2OC3)CCO1,Z2969859575
CNc1ncncc1C(=O)NC[C@@H]1CCN(C(=O)[C@H]2C[C@H]2C)C1,"""""""|&1:18"""
CNc1cncnc1C(=O)NC[C@@H]1CCN(C(=O)[C@H]2C[C@H]2C)C1,"""""""|&1:18"""
CN(Cc1c(F)cccc1Cl)c1nccc(S(C)(=O)=O)n1,PV-004750886611
CN(Cc1c(F)cccc1Cl)c1ccnc(S(C)(=O)=O)n1,PV-004750886611
Cc1c[nH]c(C(=O)N2C[C@H]3C[C@@H](N(C)C(=O)c4ccncn4)[C@@H]2C3)c1,"""""""|&1:9"""
Cc1c[nH]c(C(=O)N2C[C@H]3C[C@@H](N(C)C(=O)c4ncccn4)[C@@H]2C3)c1,"""""""|&1:9"""
COC(=O)c1cnc(Cl)nc1N1Cc2c(N)nn(C)c2C1,Z3558805959
COC(=O)c1cc(Cl)nc(N2Cc3c(N)nn(C)c3C2)n1,Z3558805959
CC1CCC(C(=O)OC(C)(C)C)CN1C(=O)Nc1ccnc(F)n1,Z7763832330
CC1CCC(C(=O)OC(C)(C)C)CN1C(=O)Nc1nccc(F)n1,Z7763832330
Cc1cncnc1C(=O)N1CC(N(C)C(=O)c2ccc(C#N)o2)C1,PV-003641837442
Cc1ccnc(C(=O)N2CC(N(C)C(=O)c3ccc(C#N)o3)C2)n1,PV-003641837442
Cc1cc(C(=O)NC[C@H](C)CNC(=O)c2ccnc(N)n2)cn1C,PV-003779926439
Cc1cc(C(=O)NC[C@H](C)CNC(=O)c2nccc(N)n2)cn1C,PV-003779926439
CNc1ncncc1C(=O)NC[C@H](C)NC(=O)[C@@]12COC[C@@H]1C2,"""""""|&1:17"""
CNc1cncnc1C(=O)NC[C@H](C)NC(=O)[C@@]12COC[C@@H]1C2,"""""""|&1:17"""
CC1CC(COC(=O)c2nccc(-c3ccccc3)n2)=NO1,Z4621518895
CC1CC(COC(=O)c2ccnc(-c3ccccc3)n2)=NO1,Z4621518895
Cc1cnc(C(=O)NC2(CO)CN(C(=O)[C@@H]3CCCN3C)C2)nc1C,PV-002929271306
Cc1cc(C(=O)NC2(CO)CN(C(=O)[C@@H]3CCCN3C)C2)nc(C)n1,PV-002929271306
O=C(NC1CN(C(=O)[C@H]2C[C@H](F)C2)C1)c1cncnc1O,PV-009240675528
O=C(NC1CN(C(=O)[C@H]2C[C@H](F)C2)C1)c1ncncc1O,PV-009240675528
O=C(NCC1(O)CCN(C(=O)CCC2CC2)C1)c1ncccn1,PV-001705579041
O=C(NCC1(O)CCN(C(=O)CCC2CC2)C1)c1ccncn1,PV-001705579041
C[C@H]1C[C@]1(C)C(=O)N1CCC(C)(NC(=O)c2ncc3c(n2)CCC3)C1,PV-009397135665
C[C@H]1C[C@]1(C)C(=O)N1CCC(C)(NC(=O)c2cc3nc(n2)CCC3)C1,PV-009397135665
CC(C)(C)CC(=O)N1CCC(O)(CCNC(=O)c2ccncn2)CC1,PV-002794841686
CC(C)(C)CC(=O)N1CCC(O)(CCNC(=O)c2ncccn2)CC1,PV-002794841686
OC[C@@H]1CN(c2ncc(N3CCCC3)cn2)C[C@H]1c1ccccc1,"""""""|&1:2"""
OC[C@@H]1CN(c2cc(N3CCCC3)ncn2)C[C@H]1c1ccccc1,"""""""|&1:2"""
COC(C)(C)CC(=O)N1CCN(C)CC1CNC(=O)c1ccncn1,PV-002926578834
COC(C)(C)CC(=O)N1CCN(C)CC1CNC(=O)c1ncccn1,PV-002926578834
Cc1ccc(F)c(C(=O)NC[C@H](C)N(C)C(=O)c2cc(C)ncn2)c1,PV-006039160532
Cc1ccc(F)c(C(=O)NC[C@H](C)N(C)C(=O)c2cnc(C)nc2)c1,PV-006039160532
COC(=O)c1ccc(C)c(C(C)NCc2ncccn2)c1,Z5280263765
COC(=O)c1ccc(C)c(C(C)NCc2ccncn2)c1,Z5280263765
CN(C)C(=O)c1ccnc(NC(=O)NC2(C)CC(F)C2)n1,PV-010069428670
CN(C)C(=O)c1nccc(NC(=O)NC2(C)CC(F)C2)n1,PV-010069428670
CNc1ccnc(CNc2nccc(C(F)(F)F)n2)c1,Z3833576669
CNc1ccnc(CNc2ccnc(C(F)(F)F)n2)c1,Z3833576669
NC1(C(=O)N2CCN(c3ccncn3)CC2)CCSCC1,Z4065540576
NC1(C(=O)N2CCN(c3cncnc3)CC2)CCSCC1,Z4065540576
CC(=O)NCC(=O)N1CCC(N(C)C(=O)c2ncc(C)c(C)n2)CC1,PV-002748510100
CC(=O)NCC(=O)N1CCC(N(C)C(=O)c2cc(C)nc(C)n2)CC1,PV-002748510100
CNC(=O)c1nccc(SC2CCCS(=O)(=O)C2)n1,Z4074620741
CNC(=O)c1ccnc(SC2CCCS(=O)(=O)C2)n1,Z4074620741
NC(=O)C1CCCC(C(=O)N2CC(NC(=O)c3ncccn3)C2)C1,PV-000494953319
NC(=O)C1CCCC(C(=O)N2CC(NC(=O)c3ccncn3)C2)C1,PV-000494953319
CC(=O)Nc1cccc(Sc2nccc(C(=O)N(C)C)n2)c1,PV-002893531827
CC(=O)Nc1cccc(Sc2ccnc(C(=O)N(C)C)n2)c1,PV-002893531827
CCC[C@H](O)C(=O)N1CC2(CCCN(C(=O)c3cncnc3C)C2)C1,PV-005622756608
CCC[C@H](O)C(=O)N1CC2(CCCN(C(=O)c3ccnc(C)n3)C2)C1,PV-005622756608
Cc1ncncc1C(=O)NC1CC(NC(=O)[C@@H]2C[C@H]3C[C@@H]2C[C@H]3O)C1,"""""""|&1:16"""
Cc1nccc(C(=O)NC2CC(NC(=O)[C@@H]3C[C@H]4C[C@@H]3C[C@H]4O)C2)n1,"""""""|&1:16"""
CCc1ccnc(NC(=O)NC2CC(=O)N(c3ccccc3)C2)n1,Z7760259676
CCc1nccc(NC(=O)NC2CC(=O)N(c3ccccc3)C2)n1,Z7760259676
Cc1nccc(C(=O)N(C)[C@@H]2CCCN(C(=O)Cc3cn[nH]c3)C2)n1,PV-009555179986
Cc1ccnc(C(=O)N(C)[C@@H]2CCCN(C(=O)Cc3cn[nH]c3)C2)n1,PV-009555179986
COC(C)(C)CC(=O)N1CCCC1(C)CNC(=O)c1nccc(N)n1,PV-003586357433
COC(C)(C)CC(=O)N1CCCC1(C)CNC(=O)c1ccnc(N)n1,PV-003586357433
O=C(NCC1(O)CN(C(=O)C2CSC2)C1)c1ncc(Cl)cn1,PV-003083204037
O=C(NCC1(O)CN(C(=O)C2CSC2)C1)c1cc(Cl)ncn1,PV-003083204037
CCc1ccc(C2=CCN(c3cc(N)ncn3)CC2)cc1,PV-003001578042
CCc1ccc(C2=CCN(c3ncc(N)cn3)CC2)cc1,PV-003001578042
CC1CC1c1ccc(CNc2ccnc(C(N)=O)n2)o1,Z1309529392
CC1CC1c1ccc(CNc2nccc(C(N)=O)n2)o1,Z1309529392
COc1ncnc(OC)c1C(=O)NCc1ccc(CO)cc1,Z3554187409
COc1ncc(OC)c(C(=O)NCc2ccc(CO)cc2)n1,Z3554187409
O=C(N[C@@H]1CN(C(=O)C2(CF)CCC2)C[C@H]1O)c1ncncc1O,"""""""|&1:3"""
O=C(N[C@@H]1CN(C(=O)C2(CF)CCC2)C[C@H]1O)c1cncnc1O,"""""""|&1:3"""
O=C(N[C@@H]1CN(C(=O)c2ncnc3ccccc23)C[C@H]1O)[C@@H]1C[C@@H]1F,"""""""|&1:3"""
O=C(N[C@@H]1CN(C(=O)c2cnc3nc2C=CC=C3)C[C@H]1O)[C@@H]1C[C@@H]1F,"""""""|&1:3"""
Cc1cnc(N2CC(C)OC(C3CC3)C2)nc1C(F)(F)F,Z4560377648
Cc1ncnc(N2CC(C)OC(C3CC3)C2)c1C(F)(F)F,Z4560377648
CN(CC1CCN1C(=O)OC(C)(C)C)C(=O)Nc1cc(C#N)ncn1,PV-009092729956
CN(CC1CCN1C(=O)OC(C)(C)C)C(=O)Nc1ncc(C#N)cn1,PV-009092729956
COC(=O)c1ccnc(NCC(O)c2ccc(OC(C)C)cc2)n1,Z1217953122
COC(=O)c1nccc(NCC(O)c2ccc(OC(C)C)cc2)n1,Z1217953122
CNc1ncncc1C(=O)N[C@@H]1CCN(C(=O)C2C[C@H]3CC[C@H]3C2)C1,PV-009481170536
CNc1cncnc1C(=O)N[C@@H]1CCN(C(=O)C2C[C@H]3CC[C@H]3C2)C1,PV-009481170536
N#CCC(=O)N1CCCC2(C1)CN(C(=O)c1cncnc1O)C2,PV-003361931378
N#CCC(=O)N1CCCC2(C1)CN(C(=O)c1ncncc1O)C2,PV-003361931378
CN(CC1CN(Cc2noc3c2CCCC3)CCO1)c1ccncn1,Z1268925520
CN(CC1CN(Cc2noc3c2CCCC3)CCO1)c1ncccn1,Z1268925520
COc1cc(C(=O)N2CCC[C@@H](NC(=O)C3CCC(=O)C3)C2)ncn1,PV-002725623354
COc1cnc(C(=O)N2CCC[C@@H](NC(=O)C3CCC(=O)C3)C2)nc1,PV-002725623354
Cn1c(C(=O)N[C@@H]2[C@@H]3CC[C@H]2N(C(=O)c2ncccn2)C3)c[nH]c1=O,"""""""|&1:6"""
Cn1c(C(=O)N[C@@H]2[C@@H]3CC[C@H]2N(C(=O)c2ccncn2)C3)c[nH]c1=O,"""""""|&1:6"""
CN1CCN(c2cc(F)cc(CNc3ccnc(C(=O)O)n3)c2)CC1,Z4341654327
CN1CCN(c2cc(F)cc(CNc3nccc(C(=O)O)n3)c2)CC1,Z4341654327
O=C1CCC(C(=O)N2CC(CNC(=O)c3ncc4c(n3)CCC4)C2)O1,PV-008947047671
O=C1CCC(C(=O)N2CC(CNC(=O)c3cc4nc(n3)CCC4)C2)O1,PV-008947047671
COc1nccc(C(=O)N2CCC[C@H](N(C)C(=O)CNC(C)=O)C2)n1,PV-003630766544
COc1ccnc(C(=O)N2CCC[C@H](N(C)C(=O)CNC(C)=O)C2)n1,PV-003630766544
