SMILES,ID
O=C(c1ccncn1)N1CC[C@H]2[C@H](CCN2C(=O)c2cocn2)C1,"""""""|&1:11"""
O=C(c1ccncn1)N1CC[C@H]2[C@H](CCN2C(=O)c2ncco2)C1,"""""""|&1:11"""
O=C(NCC1C2CNCC21)c1nc2cc(F)cc(Cl)c2o1,Z4207966388
c1ccc2ocnc2c1,PV-003402525228
COc1ccc2nc(C)oc2c1,Z5285993506
C[C@@]1(NC(=O)c2ncco2)CCN(C(=O)c2nccnc2O)C1,PV-007072107110
C[C@@]1(NC(=O)c2cocn2)CCN(C(=O)c2nccnc2O)C1,PV-007072107110
O=C(c1ncco1)N1C[C@@H](O)[C@@H](O)CC2(CC2)C1,"""""""|&1:11"""
O=C(c1cocn1)N1C[C@@H](O)[C@@H](O)CC2(CC2)C1,"""""""|&1:11"""
CC(NC(=O)c1cocn1)C(C)NC(=O)c1ccnn(C)c1=O,PV-003162199805
CC(NC(=O)c1ncco1)C(C)NC(=O)c1ccnn(C)c1=O,PV-003162199805
Cc1ncco1,PV-003684883182
Cc1ncoc1C(=O)N1CCC(C)(NC(=O)CC2CNC(=O)C2)CC1,PV-003684883182
CO[C@@H]1C[C@H](OC(C)(C)C)CN(C(=O)c2ncnc3ncoc23)C1,Z5487556951
O=C(CC1CCCC1)N1CCN(C(=O)c2cnco2)CC2(CC2)C1,PV-003066739199
c1cocn1,PV-003066739199
Brc1ccc2ncoc2c1,Z4317769543
O=C(NC[C@@H]1C[C@H]1NC(=O)[C@H]1CC1(F)F)c1nccc2ocnc12,"""""""|&1:4"""
O=C(CCc1cscn1)N[C@@H]1CCN(C(=O)c2cocn2)C1,PV-001513269379
O=C(CCc1cscn1)N[C@@H]1CCN(C(=O)c2ncco2)C1,PV-001513269379
Cc1cc(F)ccc1C(=O)NC[C@@H]1C[C@H]1CNC(=O)c1cnco1,"""""""|&1:12"""
c1cocn1,"""""""|&1:12"""
CN(C(=O)c1cocn1)[C@H]1CCCN(C(=O)c2ccnn2C)C1,PV-003691274578
CN(C(=O)c1ncco1)[C@H]1CCCN(C(=O)c2ccnn2C)C1,PV-003691274578
c1ccc2ocnc2c1,Z4471902489
CC1(C(=O)N[C@H]2CC[C@H]2CNC(=O)c2nc(C#N)co2)CCOCC1,"""""""|&1:5"""
CC1(C(=O)N[C@H]2CC[C@H]2CNC(=O)c2coc(C#N)n2)CCOCC1,"""""""|&1:5"""
CCC(CN(C)C(=O)c1ncco1)NC(=O)c1cnn(C)c1N,PV-008659978185
CCC(CN(C)C(=O)c1ncoc1C)NC(=O)c1cnn(C)c1N,PV-008659978185
NC(=O)c1cocn1,Z961034380
CN(CC1CCCOC1c1ccccc1)C(=O)c1cnc(C(N)=O)o1,Z961034380
CCC(C)(C)c1cn([C@@H]2CCN(C(=O)c3cocn3)C[C@H]2O)nn1,"""""""|&1:8"""
CCC(C)(C)c1cn([C@@H]2CCN(C(=O)c3ncco3)C[C@H]2O)nn1,"""""""|&1:8"""
CN(CC1(C)COC1)C(=O)c1cocn1,Z2718564714
CN(CC1(C)COC1)C(=O)c1ncc(S(=O)(=O)N(C)C)o1,Z2718564714
CC(C)(O)CC(=O)NC[C@H]1CC[C@H]1NC(=O)c1nc2ccoc2o1,"""""""|&1:9"""
C[C@@H]1C[C@H]1C(=O)N1CCN(C(=O)c2cocn2)C(C2CCCC2)C1,PV-007532457640
C[C@@H]1C[C@H]1C(=O)N1CCN(C(=O)c2ncco2)C(C2CCCC2)C1,PV-007532457640
CCC1CN(C(=O)[C@@H]2CC[C@@H](O)C2)CCN1C(=O)c1oc(C)nc1C,"""""""|&1:7"""
Cc1coc(C)n1,"""""""|&1:7"""
c1cocn1,PV-002932410132
Cc1cccc2ocnc12,Z3642252649
Cc1ncoc1C(=O)NC[C@@H](C)CNC(=O)[C@@]12C[C@@H](C)[C@@H]1C2,"""""""|&1:13"""
Cc1ncco1,"""""""|&1:13"""
CCc1cc(C(=O)NCC2(NC(=O)c3cocn3)CC2)cc(=O)[nH]1,PV-001668606015
CCc1cc(C(=O)NCC2(NC(=O)c3ncco3)CC2)cc(=O)[nH]1,PV-001668606015
Cc1cnc(C(=O)N2CCN(C(=O)Cc3cnn(C4CC4)c3)CC2)o1,PV-009021169346
O=C(Cc1cnn(C2CC2)c1)N1CCN(C(=O)c2cocn2)CC1,PV-009021169346
Cc1cccc(C(=O)N[C@@H]2C[C@H]2NC(=O)c2ncc(C#N)o2)c1F,"""""""|&1:9"""
Cc1cccc(C(=O)N[C@@H]2C[C@H]2NC(=O)c2cocn2)c1F,"""""""|&1:9"""
Cc1cocn1,"""""""|&1:7"""
Cc1ncc(C(=O)N[C@@H]2CN(C(=O)C3CN(C(N)=O)C3)C[C@H]2C)o1,"""""""|&1:7"""
C[C@H]1C(C(=O)NCC2(O)CCN(C(=O)c3nc4ccoc4o3)C2)[C@@H]1C,"""""""|&1:1"""
O=C(N[C@H]1CCC[C@@H]1CNC(=O)[C@H](O)C1CCC1)c1cocn1,PV-006908587976
O=C(N[C@H]1CCC[C@@H]1CNC(=O)[C@H](O)C1CCC1)c1ncco1,PV-006908587976
CC(=O)N[C@@H](C)CN(C)C(=O)c1coc(-c2ccccc2F)n1,PV-004928256500
CC(=O)N[C@@H](C)CN(C)C(=O)c1nc(-c2ccccc2F)co1,PV-004928256500
O=C(Cc1ccns1)NC1CC(CNC(=O)c2cocn2)C1,PV-003195431590
O=C(Cc1ccns1)NC1CC(CNC(=O)c2ncco2)C1,PV-003195431590
C[C@@H]1CN(C(=O)Cc2nc3ccc(Cl)cc3o2)CCN1C(=O)CO,PV-003714139677
CC(C)c1nc(CN2CCOCC2CC(F)F)co1,Z2876961778
COC(=O)c1oc(CN2CCOCC2CC(F)F)nc1C(C)C,Z2876961778
CC(C)(C)C(CNC(=O)C1(F)CC1)NC(=O)c1ccnc2ocnc12,PV-003796677408
Cc1csc(C(=O)N[C@H]2[C@@H]3CN(C(=O)c4cnco4)C[C@@H]32)c1,PV-000455913103
c1cocn1,PV-000455913103
c1cocn1,PV-009018097225
Cc1n[nH]c(N)c1C(=O)N1CCCN(C(=O)c2cnco2)[C@H](C)C1,PV-009018097225
CN(C)C1CCCC(OC(=O)c2cncc3ncoc23)C1,Z3553012435
CC(CCc1noc(-c2nc(C#N)co2)n1)NC(=O)OC(C)(C)C,PV-002890866688
CC(CCc1noc(-c2coc(C#N)n2)n1)NC(=O)OC(C)(C)C,PV-002890866688
COC(=O)c1oc(CNC(=O)NC23CCCC(C2)OC3)nc1C,Z3681246717
Cc1nc(CNC(=O)NC23CCCC(C2)OC3)co1,Z3681246717
CC(=O)NCCC(=O)NCC1(F)CCN(C(=O)c2ncco2)C1,PV-005807406954
CC(=O)NCCC(=O)NCC1(F)CCN(C(=O)c2cocn2)C1,PV-005807406954
CCN(CC(=O)Nc1ccccc1OC)C(=O)c1cocn1,Z30783987
CCN(CC(=O)Nc1ccccc1OC)C(=O)c1ncco1,Z30783987
C[C@H](C(=O)N[C@H]1C[C@@H]1NC(=O)c1nc2ccc(Cl)cc2o1)N(C)C,PV-004311741453
C[C@@H](CNC(=O)c1cocn1)CNC(=O)C1CCCC2(CCC2)O1,PV-003602858026
C[C@@H](CNC(=O)c1ncco1)CNC(=O)C1CCCC2(CCC2)O1,PV-003602858026
Cc1cnco1,PV-005670638534
O=C(NC1CN(C(=O)c2cnco2)C1)C1CC12CCCOC2,PV-005670638534
O=C(CC1CCOC1)N[C@@H]1CCN(C(=O)c2cocn2)C[C@H]1CO,"""""""|&1:10"""
Cc1cnc(C(=O)N2CC[C@@H](NC(=O)CC3CCOC3)[C@H](CO)C2)o1,"""""""|&1:10"""
Cc1cnco1,PV-001622930430
C[C@H](CNC(=O)c1cc(F)cc(Cl)c1)NC(=O)c1cnco1,PV-001622930430
CC1(C)OCCC1C(=O)N[C@@H]1CN(C(=O)c2ncco2)C[C@@H]1F,PV-009345250811
CC1(C)OCCC1C(=O)N[C@@H]1CN(C(=O)c2cocn2)C[C@@H]1F,PV-009345250811
Cc1coc(C(=O)N2CCCCC(CNC(=O)[C@@H]3C[C@H]3CF)C2)n1,"""""""|&1:17"""
Cc1nc(C(=O)N2CCCCC(CNC(=O)[C@@H]3C[C@H]3CF)C2)co1,"""""""|&1:17"""
CCC(C)(OC)C(=O)N1CCC(CN(C)C(=O)c2nc(C)co2)C1,PV-002828404468
CCC(C)(OC)C(=O)N1CCC(CN(C)C(=O)c2coc(C)n2)C1,PV-002828404468
Cc1cc(C(=O)N2CCCC23CCN(C(=O)c2cocn2)C3)on1,PV-004158673589
Cc1cc(C(=O)N2CCCC23CCN(C(=O)c2ncc(F)o2)C3)on1,PV-004158673589
c1cocn1,Z3723768128
Cc1cc(CC(=O)N2CCC(N(C)C(=O)c3cnco3)C2)n[nH]1,Z3723768128
C[C@@H]1C[C@@]1(F)C(=O)N1C[C@H]2C[C@@]2(CNC(=O)Cc2cocn2)C1,PV-009728927208
C[C@@H]1C[C@@]1(F)C(=O)N1C[C@H]2C[C@@]2(CNC(=O)Cc2ncco2)C1,PV-009728927208
CC1(C(=O)NCC2(CNC(=O)c3cocn3)CCC2)CCCO1,PV-003298765293
CC1(C(=O)NCC2(CNC(=O)c3ncco3)CCC2)CCCO1,PV-003298765293
Cc1ncc(C(=O)NC(C)C2CCN(C(=O)c3ccnn3C)C2)o1,PV-002714775736
Cc1cocn1,PV-002714775736
c1ccc2ocnc2c1,Z1603573032
Cc1cnc(C(=O)N2C[C@H]3C[C@@H](N(C)C(=O)c4cccnn4)[C@@H]2C3)o1,"""""""|&1:9"""
CN(C(=O)c1cccnn1)[C@@H]1C[C@H]2C[C@@H]1N(C(=O)c1cocn1)C2,"""""""|&1:9"""
COC(=O)c1ncco1,Z7066036632
COC(=O)c1cocn1,Z7066036632
CNS(=O)(=O)CC(=O)N1CC(N(C)C(=O)c2cocn2)C1,PV-001677747486
CNS(=O)(=O)CC(=O)N1CC(N(C)C(=O)c2ncco2)C1,PV-001677747486
COC(=O)c1ncc(NC(=O)NC(C)(C)CCN2CCCC2)o1,Z3590830991
COC(=O)c1cocn1,Z3590830991
CC(C)(C)c1cnc(C(=O)N2CC(CO)(NC(=O)C3CCC3)C2)o1,PV-003083241964
O=C(NC1(CO)CN(C(=O)c2cocn2)C1)C1CCC1,PV-003083241964
c1cocn1,PV-007888529823
CCO[C@@H]1CN(C(=O)c2nc3ccsc3o2)C[C@H]1CNC(=O)CC,"""""""|&1:3"""
c1cocn1,"""""""|&1:12"""
CC(C)(C)C(=O)N[C@@H](CO)CNC(=O)c1cc2ncoc2s1,PV-003739990931
CC[C@@H](O)CC(=O)N1C[C@@H](O)[C@H](NC(=O)c2ncco2)C1,"""""""|&1:9"""
CC[C@@H](O)CC(=O)N1C[C@@H](O)[C@H](NC(=O)c2ncoc2C)C1,"""""""|&1:9"""
CCC1(C(=O)NC2CN(C(=O)c3cnco3)CC(F)(F)C2)CC1,PV-003877788175
c1cocn1,PV-003877788175
COc1cc(F)c2oc(C(=O)N3CS[C@H](C)C3)nc2c1,Z6104631674
COC(=O)c1nc(C)co1,PV-002873344585
CCCNC(=O)[C@H](C)NC(=O)Nc1oc(C)nc1C(=O)OC,PV-002873344585
CC1CN(C(=O)c2cocn2)CCN1C(=O)C[C@@H]1CNC(=O)C1,PV-003492742451
CC1CN(C(=O)c2ncc(F)o2)CCN1C(=O)C[C@@H]1CNC(=O)C1,PV-003492742451
Cc1cc(C(=O)NC(CNC(=O)c2ncoc2C)C2CC2)nc(C)n1,PV-001657645911
Cc1cc(C(=O)NC(CNC(=O)c2ncco2)C2CC2)nc(C)n1,PV-001657645911
c1cocn1,PV-003101243980
Cc1cocn1,PV-003779926439
Cc1ncc(C(=O)NC[C@H](C)CNC(=O)c2ccc(N)nn2)o1,PV-003779926439
CCC(C)(C)C(=O)N1C[C@@H]2C[C@@H](CNC(=O)c3cocn3)[C@@H]2C1,"""""""|&1:9"""
CCC(C)(C)C(=O)N1C[C@@H]2C[C@@H](CNC(=O)c3ncco3)[C@@H]2C1,"""""""|&1:9"""
c1cocn1,PV-002737036519
Cc1ncoc1C(=O)N1CC[C@@H](CNC(=O)C(F)C2CCC2)C1,PV-007007845174
Cc1ncco1,PV-007007845174
CC1(C)C[C@@H]1C(=O)NC1CCN(C(=O)Cc2cnco2)C1(C)C,PV-002746656303
c1cocn1,PV-002746656303
CCN(C(=O)c1ncc(C)o1)C1CCCN(C(=O)C[C@@H]2CCCO2)C1,PV-003081236520
CCN(C(=O)c1cocn1)C1CCCN(C(=O)C[C@@H]2CCCO2)C1,PV-003081236520
O=C1CC2(CCCN(C(=O)c3ncc(-c4ccccn4)o3)CC2)CN1,Z6057639934
O=C1CC2(CCCN(C(=O)c3cocn3)CC2)CN1,Z6057639934
COC(=O)c1cocn1,Z7641019195
COC(=O)c1ncco1,Z7641019195
Cc1ncco1,PV-000508207340
Cc1ncoc1C(=O)N1CC[C@@H](NC(=O)c2ccnn2C)C1,PV-000508207340
CN(C)C1(C(=O)NC2COC3(C2)CN(C(=O)c2cocn2)C3)CC1,PV-002931125223
CN(C)C1(C(=O)NC2COC3(C2)CN(C(=O)c2ncco2)C3)CC1,PV-002931125223
CN(CC(=O)N(C)[C@@H]1CN(C(=O)c2cocn2)C[C@H]1O)C(=O)C1CC1,"""""""|&1:7"""
CN(CC(=O)N(C)[C@@H]1CN(C(=O)c2ncco2)C[C@H]1O)C(=O)C1CC1,"""""""|&1:7"""
O=C(c1cnco1)N1C[C@H]2OCCN(C(=O)[C@H](O)CC3CC3)[C@H]2C1,"""""""|&1:9"""
c1cocn1,"""""""|&1:9"""
O=C(CCC1CC1)N[C@H]1C[C@@H](NC(=O)c2cccc3ncoc23)C1,PV-001392704816
COc1cccc(C(=O)NC[C@@H]2CCCN2C(=O)c2ocnc2C)n1,PV-003000425025
Cc1ncco1,PV-003000425025
O=C(N[C@@H]1C[C@@H]1NC(=O)C1CCCc2[nH]nnc21)c1cocn1,"""""""|&1:3"""
O=C(N[C@@H]1C[C@@H]1NC(=O)C1CCCc2[nH]nnc21)c1ncco1,"""""""|&1:3"""
