NAME,SMARTS
oxazole2pyridine,[n;D2:1]1[c:2][o:3][c:4][c:5]1>>[n;D2:1]1[c:2][c][c:4][c:5][c]1.[o:3]
oxazole2pyridazine,[n;D2:1]1[c:2][o:3][c:4][c:5]1>>[n;D2:1]1[n;D2][c:2][c:4][c:5][c]1.[o:3]
oxazole2pyrimidine,[n;D2:1]1[c:2][o:3][c:4][c:5]1>>[n;D2:1]1[c:2][n;D2][c:4][c:5][c]1.[o:3]
oxazole2pyrazine,[n;D2:1]1[c:2][o:3][c:4][c:5]1>>[n;D2:1]1[c:2][c:4][n;D2][c:5][c]1.[o:3]
oxazole2pyrrole,[n;D2:1]1[c:2][o:3][c:4][c:5]1>>[nH]1[c:2][c][c:4][c:5]1.[n;D2:1][o:3]
oxazole2pyrazole,[n;D2:1]1[c:2][o:3][c:4][c:5]1>>[n;D2:1]1[nH][c:2][c:4][c:5]1.[o:3]
oxazole2imidazole,[n;D2:1]1[c:2][o:3][c:4][c:5]1>>[n;D2:1]1[c:2][nH][c:4][c:5]1.[o:3]
oxazole2thiazole,[n;D2:1]1[c:2][o:3][c:4][c:5]1>>[n;D2:1]1[c:2][s][c:4][c:5]1.[o:3]
oxazole2isoxazole,[n;D2:1]1[c:2][o:3][c:4][c:5]1>>[n;D2:1]1[o:3][c:2][c:4][c:5]1
oxazole2furan,[n;D2:1]1[c:2][o:3][c:4][c:5]1>>[c]1[c:2][o:3][c:4][c:5]1.[n;D2:1]
