NAME,SMARTS
thiazole2pyridine,[n;D2:1]1[c:2][s:3][c:4][c:5]1>>[n;D2:1]1[c:2][c][c:4][c:5][c]1.[s:3]
thiazole2pyridazine,[n;D2:1]1[c:2][s:3][c:4][c:5]1>>[n;D2:1]1[n;D2][c:2][c:4][c:5][c]1.[s:3]
thiazole2pyrimidine,[n;D2:1]1[c:2][s:3][c:4][c:5]1>>[n;D2:1]1[c:2][n;D2][c:4][c:5][c]1.[s:3]
thiazole2pyrazine,[n;D2:1]1[c:2][s:3][c:4][c:5]1>>[n;D2:1]1[c:2][c:4][n;D2][c:5][c]1.[s:3]
thiazole2pyrrole,[n;D2:1]1[c:2][s:3][c:4][c:5]1>>[nH]1[c:2][c][c:4][c:5]1.[n;D2:1][s:3]
thiazole2pyrazole,[n;D2:1]1[c:2][s:3][c:4][c:5]1>>[n;D2:1]1[nH][c:2][c:4][c:5]1.[s:3]
thiazole2imidazole,[n;D2:1]1[c:2][s:3][c:4][c:5]1>>[n;D2:1]1[c:2][nH][c:4][c:5]1.[s:3]
thiazole2oxazole,[n;D2:1]1[c:2][s:3][c:4][c:5]1>>[n;D2:1]1[c:2][o][c:4][c:5]1.[s:3]
thiazole2isoxazole,[n;D2:1]1[c:2][s:3][c:4][c:5]1>>[n;D2:1]1[o][c:2][c:4][c:5]1.[s:3]
thiazole2furan,[n;D2:1]1[c:2][s:3][c:4][c:5]1>>[o]1[c:2][c][c:4][c:5]1.[n;D3:1][s:3]
